,mutation,strategy,gems,n_cols,overall_best,overall_best_mean,overall_best_std,test_error_best,test_error_mean,test_error_std,better_gems_total,better_gems_mean,worse_gems_total,worse_gems_mean
1,point_mutation,MatchPMStrategy,0,100,-0.9673366834170855,-0.9653266331658291,0.0011236522499999241,-0.9590643274853801,-0.9032163742690056,0.03135479249188048,0,0.0,0,0.0
2,point_mutation,MatchPMStrategy,0,50,-0.9522613065326633,-0.9371859296482412,0.029515929960981707,-0.9298245614035088,-0.8953216374269006,0.026728409080763606,0,0.0,0,0.0
3,point_mutation,MatchPMStrategy,0,10,-0.9422110552763819,-0.8743718592964824,0.139090266989291,-0.9415204678362573,-0.8695906432748538,0.03605394770011311,0,0.0,0,0.0
4,point_mutation,MatchPMStrategy,5,100,-0.9597989949748744,-0.9577889447236181,0.0011236522499999241,-0.9415204678362573,-0.9052631578947368,0.015427960185114532,1167,58.35,208,10.4
5,point_mutation,MatchPMStrategy,5,50,-0.9673366834170855,-0.8472361809045226,0.26434143074876243,-0.935672514619883,-0.8830409356725146,0.0422916601912621,1358,67.9,156,7.8
6,point_mutation,MatchPMStrategy,5,10,-0.949748743718593,-0.9477386934673367,0.0011236522499998743,-0.9181286549707602,-0.8692982456140351,0.03241660307179441,1749,87.45,216,10.8
7,point_mutation,MatchPMStrategy,10,100,-0.9623115577889447,-0.9603015075376885,0.0011236522499998743,-0.9415204678362573,-0.8956140350877193,0.026039813466429387,1433,71.65,313,15.65
8,point_mutation,MatchPMStrategy,10,50,-0.957286432160804,-0.8894472361809045,0.1474833708016384,-0.9415204678362573,-0.8909356725146198,0.02668839527186562,1557,77.85,320,16.0
9,point_mutation,MatchPMStrategy,10,10,-0.9447236180904522,-0.8623115577889447,0.15281670599998562,-0.9298245614035088,-0.8698830409356726,0.03995804201379079,1928,96.4,239,11.95
10,single_mutation,MatchSMStrategy,0,100,-0.9673366834170855,-0.8060301507537688,0.17174244462618915,-0.935672514619883,-0.9005847953216375,0.024323548939281188,0,0.0,0,0.0
11,single_mutation,MatchSMStrategy,0,50,-0.9623115577889447,-0.700502512562814,0.2582225236993531,-0.9298245614035088,-0.9032163742690059,0.019612451856998826,0,0.0,0,0.0
12,single_mutation,MatchSMStrategy,0,10,-0.9371859296482412,-0.7,0.2221992137557464,-0.9122807017543859,-0.8722222222222221,0.03937175490500064,0,0.0,0,0.0
13,single_mutation,MatchSMStrategy,5,100,-0.9623115577889447,-0.8366834170854272,0.25884885011113823,-0.9415204678362573,-0.8935672514619883,0.02485208112383133,114,5.7,79,3.95
14,single_mutation,MatchSMStrategy,5,50,-0.9698492462311558,-0.6693467336683417,0.2893519088556443,-0.9473684210526315,-0.9035087719298245,0.02746048393420794,154,7.7,119,5.95
15,single_mutation,MatchSMStrategy,5,10,-0.957286432160804,-0.9035175879396985,0.07302875225963798,-0.9298245614035088,-0.8807017543859649,0.04401143326836674,450,22.5,191,9.55
16,single_mutation,MatchSMStrategy,10,100,-0.964824120603015,-0.9447236180904522,0.026767934362641344,-0.9473684210526315,-0.9055555555555557,0.020196615718513593,223,11.15,148,7.4
17,single_mutation,MatchSMStrategy,10,50,-0.9723618090452262,-0.884924623115578,0.11951720171599808,-0.9473684210526315,-0.9040935672514621,0.049046166891840354,227,11.35,209,10.45
18,single_mutation,MatchSMStrategy,10,10,-0.9547738693467337,-0.8502512562814071,0.15396086148767985,-0.9298245614035088,-0.881578947368421,0.02698150808099789,681,34.05,223,11.15
19,single_mutation,MatchByActiveStrategy,0,100,-0.9673366834170855,-0.8060301507537688,0.17174244462618915,-0.935672514619883,-0.9005847953216375,0.024323548939281188,0,0.0,0,0.0
