,mutation,strategy,gems,n_cols,overall_best,overall_best_mean,overall_best_std,test_error_best,test_error_mean,test_error_std,better_gems_total,better_gems_mean,worse_gems_total,worse_gems_mean
1,point_mutation,MatchPMStrategy,0,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
2,point_mutation,MatchPMStrategy,0,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
3,point_mutation,MatchPMStrategy,0,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
4,point_mutation,MatchPMStrategy,5,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
5,point_mutation,MatchPMStrategy,5,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
6,point_mutation,MatchPMStrategy,5,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
7,point_mutation,MatchPMStrategy,10,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
8,point_mutation,MatchPMStrategy,10,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
9,point_mutation,MatchPMStrategy,10,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
10,single_mutation,MatchSMStrategy,0,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
11,single_mutation,MatchSMStrategy,0,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
12,single_mutation,MatchSMStrategy,0,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
13,single_mutation,MatchSMStrategy,5,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
14,single_mutation,MatchSMStrategy,5,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
15,single_mutation,MatchSMStrategy,5,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
16,single_mutation,MatchSMStrategy,10,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
17,single_mutation,MatchSMStrategy,10,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
18,single_mutation,MatchSMStrategy,10,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
19,single_mutation,MatchByActiveStrategy,0,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
20,single_mutation,MatchByActiveStrategy,0,50,-0.6256281407035176,-0.5206030150753769,0.10857062734316701,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
21,single_mutation,MatchByActiveStrategy,0,100,-0.6256281407035176,-0.4678391959798995,0.17200873634397776,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
22,single_mutation,MatchByActiveStrategy,5,10,-0.6256281407035176,-0.6221105527638191,0.007865565749999269,-0.631578947368421,-0.631578947368421,0.0,0,0.0,0,0.0
