,best fitness,mean of last gen,std of last gen,mean of best individual,std of best indvidiual,g_better,g_better avg,g_worse,g_worse avg,g_same,g_same avg
"10,0,0",-0.9422110552763819,-0.7895477386934674,0.16938666156201132,-0.8989949748743719,0.035190233969872566,0,0.0,0,0.0,0,0.0
"50,0,0",-0.9597989949748744,-0.8549748743718594,0.18786110736851766,-0.9326633165829146,0.020062778671032303,0,0.0,0,0.0,0,0.0
"100,0,0",-0.9547738693467337,-0.8409045226130653,0.224377030670764,-0.9311557788944723,0.02117719347307086,0,0.0,0,0.0,0,0.0
"10,5,0",-0.9296482412060302,-0.7646231155778895,0.2036852959974295,-0.8879396984924623,0.03239550042469588,503,100.6,166,33.2,8181,1636.2
"50,5,0",-0.9547738693467337,-0.85356783919598,0.16817965649466998,-0.9391959798994975,0.012349955504969362,221,44.2,68,13.6,21651,4330.2
"100,5,0",-0.9547738693467337,-0.7974874371859296,0.23579461620826334,-0.9281407035175879,0.020876962892302512,245,49.0,50,10.0,35888,7177.6
"10,5,30",-0.9371859296482412,-0.7700502512562812,0.19103558194972325,-0.9030150753768845,0.017738052859017875,412,82.4,51,10.2,848,169.6
"50,5,30",-0.9472361809045227,-0.845427135678392,0.14190463641194456,-0.9120603015075377,0.03524759380251294,180,36.0,48,9.6,13635,2727.0
"100,5,30",-0.9547738693467337,-0.8370854271356784,0.18648251361899715,-0.9231155778894472,0.01975839522747488,322,64.4,31,6.2,12056,2411.2
"10,10,0",-0.9472361809045227,-0.7665326633165829,0.17617336523956406,-0.8793969849246231,0.047751915651073784,588,117.6,30,6.0,2082,416.4
"50,10,0",-0.9396984924623115,-0.8573869346733669,0.19700066596934088,-0.927638190954774,0.008164862718227098,324,64.8,128,25.6,47144,9428.8
"100,10,0",-0.9547738693467337,-0.8650251256281406,0.14721391774330952,-0.927638190954774,0.016468311163993908,405,81.0,1673,334.6,73223,14644.6
"10,10,30",-0.9422110552763819,-0.8109547738693468,0.19556363471734203,-0.9216080402010052,0.01849082361102925,413,82.6,38,7.6,2362,472.4
"50,10,30",-0.9321608040201005,-0.8904522613065327,0.09803246082121092,-0.921105527638191,0.0092112074270469,377,75.4,94,18.8,13951,2790.2
"100,10,30",-0.9547738693467337,-0.8852261306532664,0.13794994058139878,-0.9366834170854272,0.010224618065012988,429,85.8,92,18.4,55410,11082.0
