,best fitness,mean of last gen,std of last gen,mean of best individual,std of best indvidiual,g_better,g_better avg,g_worse,g_worse avg,g_same,g_same avg
"10,0,0",-0.9346733668341709,-0.7252261306532664,0.16940097248108835,-0.9185929648241207,0.011524969790130377,0,0.0,0,0.0,0,0.0
"50,0,0",-0.9547738693467337,-0.6456281407035175,0.2098896743821312,-0.927638190954774,0.020250695155386814,0,0.0,0,0.0,0,0.0
"100,0,0",-0.9522613065326633,-0.6780904522613065,0.16612478595615118,-0.935175879396985,0.020062778671032275,0,0.0,0,0.0,0,0.0
"10,5,0",-0.9296482412060302,-0.6279396984924623,0.19946257431548858,-0.9025125628140703,0.01707064095624425,44,8.8,618,123.6,0,0.0
"50,5,0",-0.949748743718593,-0.6937688442211055,0.16881777730228684,-0.9256281407035175,0.021057614914328598,24,4.8,1072,214.4,0,0.0
"100,5,0",-0.9472361809045227,-0.633467336683417,0.18929364767037843,-0.935175879396985,0.009718130455182774,40,8.0,1178,235.6,0,0.0
"10,5,30",-0.9296482412060302,-0.6279396984924623,0.19946257431548858,-0.9025125628140703,0.01707064095624425,44,8.8,618,123.6,0,0.0
"50,5,30",-0.949748743718593,-0.6937688442211055,0.16881777730228684,-0.9256281407035175,0.021057614914328598,24,4.8,1072,214.4,0,0.0
"100,5,30",-0.9472361809045227,-0.633467336683417,0.18929364767037843,-0.935175879396985,0.009718130455182774,40,8.0,1178,235.6,0,0.0
"10,10,0",-0.9296482412060302,-0.7028140703517587,0.1897695563920063,-0.8859296482412061,0.034362454265886945,166,33.2,8474,1694.8,0,0.0
"50,10,0",-0.9271356783919598,-0.6456281407035176,0.20698574811256729,-0.9070351758793971,0.013761873304149873,262,52.4,7819,1563.8,0,0.0
"100,10,0",-0.9447236180904522,-0.6586934673366833,0.2037794456591976,-0.9291457286432161,0.013142408874997,159,31.8,4886,977.2,0,0.0
"10,10,30",-0.9296482412060302,-0.6279396984924623,0.19946257431548858,-0.9025125628140703,0.01707064095624425,44,8.8,618,123.6,0,0.0
"50,10,30",-0.949748743718593,-0.693969849246231,0.18243905278091221,-0.9256281407035175,0.021057614914328598,24,4.8,1268,253.6,0,0.0
"100,10,30",-0.9472361809045227,-0.6320603015075377,0.1917651147784149,-0.9356783919597991,0.00907310054536071,41,8.2,1357,271.4,0,0.0
