,best fitness,mean of last gen,std of last gen,mean of best individual,std of best indvidiual,g_better,g_better avg,g_worse,g_worse avg,g_same,g_same avg
"10,0,0",-0.9346733668341709,-0.7252261306532664,0.16940097248108835,-0.9185929648241207,0.011524969790130377,0,0.0,0,0.0,0,0.0
"50,0,0",-0.9547738693467337,-0.6456281407035175,0.2098896743821312,-0.927638190954774,0.020250695155386814,0,0.0,0,0.0,0,0.0
"100,0,0",-0.9522613065326633,-0.6780904522613065,0.16612478595615118,-0.935175879396985,0.020062778671032275,0,0.0,0,0.0,0,0.0
"10,5,0",-0.9346733668341709,-0.7252261306532664,0.16940097248108835,-0.9185929648241207,0.011524969790130377,2,0.4,1,0.2,0,0.0
"50,5,0",-0.9547738693467337,-0.6456281407035175,0.2098896743821312,-0.927638190954774,0.020250695155386814,0,0.0,0,0.0,0,0.0
"100,5,0",-0.9522613065326633,-0.6780904522613065,0.16612478595615118,-0.935175879396985,0.020062778671032275,0,0.0,0,0.0,0,0.0
"10,5,30",-0.9346733668341709,-0.7252261306532664,0.16940097248108835,-0.9185929648241207,0.011524969790130377,2,0.4,1,0.2,0,0.0
"50,5,30",-0.9547738693467337,-0.6456281407035175,0.2098896743821312,-0.927638190954774,0.020250695155386814,0,0.0,0,0.0,0,0.0
"100,5,30",-0.9522613065326633,-0.6780904522613065,0.16612478595615118,-0.935175879396985,0.020062778671032275,0,0.0,0,0.0,0,0.0
"10,10,0",-0.9346733668341709,-0.7252261306532664,0.16940097248108835,-0.9185929648241207,0.011524969790130377,2,0.4,1,0.2,0,0.0
"50,10,0",-0.9547738693467337,-0.6456281407035175,0.2098896743821312,-0.927638190954774,0.020250695155386814,0,0.0,0,0.0,0,0.0
"100,10,0",-0.9522613065326633,-0.6780904522613065,0.16612478595615118,-0.935175879396985,0.020062778671032275,0,0.0,0,0.0,0,0.0
"10,10,30",-0.9346733668341709,-0.7252261306532664,0.16940097248108835,-0.9185929648241207,0.011524969790130377,2,0.4,1,0.2,0,0.0
"50,10,30",-0.9547738693467337,-0.6456281407035175,0.2098896743821312,-0.927638190954774,0.020250695155386814,0,0.0,0,0.0,0,0.0
"100,10,30",-0.9522613065326633,-0.6780904522613065,0.16612478595615118,-0.935175879396985,0.020062778671032275,0,0.0,0,0.0,0,0.0
