,best fitness,mean of last gen,std of last gen,mean of best individual,std of best indvidiual,g_better,g_better avg,g_worse,g_worse avg,g_same,g_same avg
"10,0,0",-0.9522613065326633,-0.7986683417085427,0.16802853003097748,-0.8982412060301506,0.044327333578837565,0,0.0,0,0.0,0,0.0
"50,0,0",-0.9597989949748744,-0.8642462311557787,0.16978175601530193,-0.932035175879397,0.018793482781961454,0,0.0,0,0.0,0,0.0
"100,0,0",-0.9597989949748744,-0.8674120603015075,0.17126902621732504,-0.934924623115578,0.020410610361473652,0,0.0,0,0.0,0,0.0
"10,5,0",-0.9447236180904522,-0.7898994974874372,0.1852196071455169,-0.905276381909548,0.024477830020676838,2050,102.5,1740,87.0,16669,833.45
"50,5,0",-0.9597989949748744,-0.8471356783919597,0.16697174505700849,-0.9268844221105528,0.025732617861961626,1114,55.7,2337,116.85,59473,2973.65
"100,5,0",-0.9623115577889447,-0.8667839195979901,0.15456324995747936,-0.925502512562814,0.030651979131059263,1021,51.05,5475,273.75,105840,5292.0
"10,5,30",-0.9422110552763819,-0.7716331658291457,0.19553224708474262,-0.9021356783919598,0.020527422915166252,1504,75.2,216,10.8,5078,253.9
"50,5,30",-0.9472361809045227,-0.830678391959799,0.17330743101438828,-0.9202261306532664,0.03042043338953078,1054,52.7,164,8.2,86572,4328.6
"100,5,30",-0.9547738693467337,-0.8518090452261309,0.1704143686547999,-0.9337939698492462,0.01667166368697691,837,41.85,111,5.55,85167,4258.35
"10,10,0",-0.949748743718593,-0.7639195979899495,0.19319334510853997,-0.8952261306532664,0.05168861417695832,2710,135.5,2040,102.0,10550,527.5
"50,10,0",-0.9472361809045227,-0.8580402010050254,0.16017878606092606,-0.9168341708542712,0.03008682502315156,1686,84.3,3986,199.3,79877,3993.85
"100,10,0",-0.9547738693467337,-0.8307286432160804,0.17211904575017772,-0.9163316582914571,0.030015399698910827,1601,80.05,17924,896.2,128215,6410.75
"10,10,30",-0.9472361809045227,-0.7876381909547736,0.19831188274612335,-0.9087939698492464,0.0316832078705449,1715,85.75,351,17.55,23488,1174.4
"50,10,30",-0.9698492462311558,-0.8854522613065328,0.11944697985059904,-0.9298994974874372,0.017639908862782005,1588,79.4,369,18.45,59065,2953.25
"100,10,30",-0.964824120603015,-0.8795979899497485,0.15296191863272454,-0.9347989949748742,0.01995036579935041,1481,74.05,356,17.8,112012,5600.6
