,best fitness,mean of last gen,std of last gen,mean of best individual,std of best indvidiual,g_better,g_better avg,g_worse,g_worse avg,g_same,g_same avg
"10,0,0",-66,-20.42,13.648575017195018,-33.0,12.83744522870497,0,0.0,0,0.0,0,0.0
"50,0,0",-89,-52.96,25.629639092269713,-61.2,20.783647418102532,0,0.0,0,0.0,0,0.0
"100,0,0",-89,-52.48,23.973518723791884,-58.5,23.087875606040498,0,0.0,0,0.0,0,0.0
"10,5,0",-89,-15.78,21.420821646239435,-22.3,23.490636432417066,2651,265.1,12616,1261.6,2407,240.7
"50,5,0",-89,-59.52,29.969477806595165,-65.9,26.808394207784996,549,54.9,228,22.8,2475,247.5
"100,5,0",-89,-47.64,28.034806937091613,-49.7,27.58278448597966,477,47.7,4298,429.8,2,0.2
"10,5,30",-63,-21.54,16.243410971837164,-34.1,14.624978632463023,1431,143.1,302,30.2,1070,107.0
"50,5,30",-89,-80.72,13.066047604382895,-84.8,8.692525524840292,570,57.0,143,14.3,2990,299.0
"100,5,30",-89,-58.36,29.76155909894507,-63.2,26.377262936097065,282,28.2,94,9.4,4,0.4
"10,10,0",-89,-21.26,21.65530881793192,-34.0,25.632011235952593,3265,326.5,7233,723.3,4362,436.2
"50,10,0",-89,-47.7,32.53136947624554,-53.9,30.184267425266427,1094,109.4,6793,679.3,1640,164.0
"100,10,0",-89,-56.48,25.649358666446226,-62.6,23.187065359807825,847,84.7,1817,181.7,3959,395.9
"10,10,30",-86,-24.38,19.31827114417851,-37.4,20.85281755542881,2080,208.0,553,55.3,1667,166.7
"50,10,30",-89,-50.28,27.957138623256853,-56.5,25.889186931999237,971,97.1,428,42.8,3168,316.8
"100,10,30",-89,-75.8,16.923356641044943,-78.9,14.76109752017105,611,61.1,212,21.2,1739,173.9
