,best fitness,mean of last gen,std of last gen,mean of best individual,std of best indvidiual,g_better,g_better avg,g_worse,g_worse avg,g_same,g_same avg
"10,0,0",-30,-4.66,6.230922885094952,-14.9,5.8728187440104085,0,0.0,0,0.0,0,0.0
"50,0,0",-88,-21.12,24.844025438724703,-65.5,13.470337783441067,0,0.0,0,0.0,0,0.0
"100,0,0",-89,-31.74,33.1673393566623,-81.8,6.615134163416491,0,0.0,0,0.0,0,0.0
"10,5,0",-27,-5.0,6.905070600652827,-16.9,6.378871373526825,11,1.1,72,7.2,0,0.0
"50,5,0",-88,-21.12,24.844025438724703,-65.5,13.470337783441067,0,0.0,0,0.0,0,0.0
"100,5,0",-89,-31.74,33.1673393566623,-81.8,6.615134163416491,0,0.0,0,0.0,0,0.0
"10,5,30",-27,-5.52,7.539867372838862,-18.8,6.80881781221968,11,1.1,42,4.2,0,0.0
"50,5,30",-88,-21.12,24.844025438724703,-65.5,13.470337783441067,0,0.0,0,0.0,0,0.0
"100,5,30",-89,-31.74,33.1673393566623,-81.8,6.615134163416491,0,0.0,0,0.0,0,0.0
"10,10,0",-27,-5.0,6.905070600652827,-16.9,6.378871373526825,13,1.3,74,7.4,0,0.0
"50,10,0",-88,-21.12,24.844025438724703,-65.5,13.470337783441067,0,0.0,0,0.0,0,0.0
"100,10,0",-89,-31.74,33.1673393566623,-81.8,6.615134163416491,0,0.0,0,0.0,0,0.0
"10,10,30",-27,-5.52,7.539867372838862,-18.8,6.80881781221968,13,1.3,45,4.5,0,0.0
"50,10,30",-88,-21.12,24.844025438724703,-65.5,13.470337783441067,0,0.0,0,0.0,0,0.0
"100,10,30",-89,-31.74,33.1673393566623,-81.8,6.615134163416491,0,0.0,0,0.0,0,0.0
