,best fitness,mean of last gen,std of last gen,mean of best individual,std of best indvidiual,g_better,g_better avg,g_worse,g_worse avg,g_same,g_same avg
"10,0,0",-36,-13.24,10.144082018595867,-21.5,8.891006692158093,0,0.0,0,0.0,0,0.0
"50,0,0",-89,-52.78,32.850747327876725,-61.7,30.786523025505822,0,0.0,0,0.0,0,0.0
"100,0,0",-89,-59.74,28.928746948321148,-67.1,26.718720029222958,0,0.0,0,0.0,0,0.0
"10,5,0",-55,-18.88,15.01284783110786,-31.8,13.563185466548779,1157,115.7,890,89.0,0,0.0
"50,5,0",-89,-62.22,25.408888208656435,-77.4,17.556765077883796,416,41.6,424,42.4,0,0.0
"100,5,0",-89,-53.9,25.514113741221742,-61.3,23.354014644167716,339,33.9,621,62.1,0,0.0
"10,5,30",-89,-25.02,23.36706228861472,-40.8,24.264377181374346,1093,109.3,270,27.0,0,0.0
"50,5,30",-89,-58.54,26.79120004777688,-71.3,20.93824252414705,208,20.8,168,16.8,0,0.0
"100,5,30",-89,-64.9,30.528183699656946,-74.5,26.53017150340344,150,15.0,107,10.7,0,0.0
"10,10,0",-57,-12.8,12.229472596968359,-27.7,13.160927019021115,1668,166.8,2999,299.9,0,0.0
"50,10,0",-89,-60.2,30.544393920979996,-74.4,21.66656410232135,430,43.0,461,46.1,0,0.0
"100,10,0",-89,-64.64,25.847831630525604,-73.6,21.443880245888334,410,41.0,505,50.5,0,0.0
"10,10,30",-84,-24.14,20.212877083681086,-39.1,22.82739582168759,1578,157.8,505,50.5,0,0.0
"50,10,30",-89,-56.6,29.394557319340603,-67.0,23.034756347745464,364,36.4,197,19.7,0,0.0
"100,10,30",-89,-65.12,27.86441458204353,-74.6,23.825196746302016,284,28.4,210,21.0,0,0.0
