,best fitness,mean of last gen,std of last gen,mean of best individual,std of best indvidiual,g_better,g_better avg,g_worse,g_worse avg,g_same,g_same avg
"10,0,0",0.14897296705974555,133.7830772892063,1053.598059026881,0.3595687807754054,0.08782969830020865,0,0.0,0,0.0,0,0.0
"50,0,0",0.0,1.0043362776618693e+51,9.99301978903986e+51,0.28289085719678625,0.1168487649811436,0,0.0,0,0.0,0,0.0
"100,0,0",0.16776289758895796,86.27196932992047,833.0967080495999,0.30799088873537034,0.07719038743566901,0,0.0,0,0.0,0,0.0
"10,5,0",0.11761416387514366,7.964473993909362e+21,7.924551567102201e+22,0.3796883665441914,0.13631133821092112,5763,288.15,19208,960.4,7864,393.2
"50,5,0",0.1382996362178559,5.4488604067806355e+23,4.323738006850537e+24,0.35306026273505886,0.10053165194753907,2063,103.15,13767,688.35,69033,3451.65
"100,5,0",0.048273087518499756,2.2439742342004975e+23,2.2327261722204435e+24,0.3150830637765245,0.14755686167982493,1671,83.55,4091,204.55,25673,1283.65
"10,5,30",0.19962339880170998,4.65073649478037e+22,4.627424385599745e+23,0.397679144189276,0.09968474679175164,2426,121.3,490,24.5,4789,239.45
"50,5,30",0.05379820718548684,25105231.155383207,249793332.1664344,0.2954386861682374,0.11629852469541459,1609,80.45,669,33.45,27635,1381.75
"100,5,30",0.19858953760134257,2.2439742342004975e+23,2.2327261722204435e+24,0.3244788266020247,0.07560650240806165,1222,61.1,576,28.8,26793,1339.65
"10,10,0",0.17717909640147766,2.6845374758456995,13.158173407691573,0.36401512170998906,0.1133161228371355,6235,311.75,11943,597.15,15121,756.05
"50,10,0",0.04191961057496662,1.208636189330868,6.005255408082035,0.2574081275439005,0.10823138092738575,2630,131.5,7205,360.25,38090,1904.5
"100,10,0",0.0,1.4886805473676107e+51,1.4812184424957793e+52,0.31121308611528886,0.13053488003000363,2250,112.5,15642,782.1,33013,1650.65
"10,10,30",0.1648789825204958,1.9807040628566088e+22,1.9707756591683666e+23,0.3980356184838264,0.08424172233379024,3096,154.8,1103,55.15,13898,694.9
"50,10,30",0.1631784522488856,1.8256603179098478,12.2221905854573,0.30694140549847415,0.10136976894349405,2172,108.6,963,48.15,40806,2040.3
"100,10,30",0.1132596511484404,2.0387753078522195,9.164749545582406,0.34717252829244116,0.08443163783551288,1868,93.4,786,39.3,43846,2192.3
