,best fitness,mean of last gen,std of last gen,mean of best individual,std of best indvidiual,g_better,g_better avg,g_worse,g_worse avg,g_same,g_same avg
"10,0,0",0.11761416387514366,171.7768637318363,1604.0169772257461,0.21943910784471515,0.07973855032776613,0,0.0,0,0.0,0,0.0
"50,0,0",0.12095524544055436,2.089324338423874e+24,1.3860932172932093e+25,0.2113367562826109,0.059654647162354336,0,0.0,0,0.0,0,0.0
"100,0,0",0.16776289758895796,9.64900499212941e+23,4.967039579516261e+24,0.2546304350885506,0.08007343134524933,0,0.0,0,0.0,0,0.0
"10,5,0",0.0,7.111438212201942e+50,7.075791680900894e+51,0.19133720354362296,0.09080483083235782,2829,141.45,14753,737.65,0,0.0
"50,5,0",7.753023584125257e-32,5.272280881649339e+52,5.245853242138507e+53,0.21064233499115675,0.09274960138753767,974,48.7,6993,349.65,0,0.0
"100,5,0",0.09037321765074692,4.11203269649925e+78,3.290123223157028e+79,0.2413749359718814,0.07749211485812565,822,41.1,3889,194.45,0,0.0
"10,5,30",0.0,2.9600521828246525e+24,2.20720662731126e+25,0.19519219972420468,0.09402994504246535,783,39.15,3405,170.25,0,0.0
"50,5,30",0.0,2.510840694154761e+50,2.4982549472600518e+51,0.18730238529323326,0.11483661880800854,425,21.25,2455,122.75,0,0.0
"100,5,30",0.0,9.291639834767286e+77,9.245064905712875e+78,0.21886402487871312,0.10292301881747278,309,15.45,2075,103.75,0,0.0
"10,10,0",0.12095524544055436,2.931924564416749e+50,2.9172281081389643e+51,0.20759324932579504,0.05316885049767173,3631,181.55,20363,1018.15,0,0.0
"50,10,0",0.15954225920205997,1.2351818131489373e+51,1.0230954397155087e+52,0.2717845001670653,0.08144531940591822,2098,104.9,11787,589.35,0,0.0
"100,10,0",0.11761416387514366,9.291639834767286e+77,9.245064905712875e+78,0.26016937326223727,0.09674560369461967,994,49.7,6452,322.6,0,0.0
"10,10,30",0.0,1.1157019741644369e+51,1.0028175427649922e+52,0.22351426805722374,0.10907056363089927,750,37.5,3855,192.75,0,0.0
"50,10,30",0.0,2.510840694154761e+50,2.4982549472600518e+51,0.19662151638377504,0.11282640217867795,671,33.55,3354,167.7,0,0.0
"100,10,30",0.0,4.112032696499363e+78,3.290123223157136e+79,0.23809732291569477,0.10834817686063812,579,28.95,3112,155.6,0,0.0
