,best fitness,mean of last gen,std of last gen,mean of best individual,std of best indvidiual,g_better,g_better avg,g_worse,g_worse avg,g_same,g_same avg
"10,0,0",0.11761416387514366,171.7768637318363,1604.0169772257461,0.21943910784471515,0.07973855032776613,0,0.0,0,0.0,0,0.0
"50,0,0",0.12095524544055436,2.089324338423874e+24,1.3860932172932093e+25,0.2113367562826109,0.059654647162354336,0,0.0,0,0.0,0,0.0
"100,0,0",0.16776289758895796,9.64900499212941e+23,4.967039579516261e+24,0.2546304350885506,0.08007343134524933,0,0.0,0,0.0,0,0.0
"10,5,0",0.0,8.582227235342016e+23,4.938177768550372e+24,0.20063011335206354,0.11450469216628305,27,1.35,55,2.75,0,0.0
"50,5,0",0.12095524544055436,2.089324338423874e+24,1.3860932172932093e+25,0.2113367562826109,0.059654647162354336,0,0.0,0,0.0,0,0.0
"100,5,0",0.16776289758895796,9.64900499212941e+23,4.967039579516261e+24,0.2546304350885506,0.08007343134524933,0,0.0,0,0.0,0,0.0
"10,5,30",0.0,8.582227235342016e+23,4.938177768550372e+24,0.20063011335206354,0.11450469216628305,27,1.35,55,2.75,0,0.0
"50,5,30",0.12095524544055436,2.089324338423874e+24,1.3860932172932093e+25,0.2113367562826109,0.059654647162354336,0,0.0,0,0.0,0,0.0
"100,5,30",0.16776289758895796,9.64900499212941e+23,4.967039579516261e+24,0.2546304350885506,0.08007343134524933,0,0.0,0,0.0,0,0.0
"10,10,0",0.0,6.928224233050354e+23,5.548356922802513e+24,0.20087913603624682,0.07365184815064157,67,3.35,118,5.9,0,0.0
"50,10,0",0.12095524544055436,2.089324338423874e+24,1.3860932172932093e+25,0.2113367562826109,0.059654647162354336,0,0.0,0,0.0,0,0.0
"100,10,0",0.16776289758895796,9.64900499212941e+23,4.967039579516261e+24,0.2546304350885506,0.08007343134524933,0,0.0,0,0.0,0,0.0
"10,10,30",0.11761416387514366,2.5108406941546724e+50,2.4982549472599634e+51,0.2089842917743571,0.07375701208812213,65,3.25,145,7.25,0,0.0
"50,10,30",0.12095524544055436,2.089324338423874e+24,1.3860932172932093e+25,0.2113367562826109,0.059654647162354336,0,0.0,0,0.0,0,0.0
"100,10,30",0.16776289758895796,9.64900499212941e+23,4.967039579516261e+24,0.2546304350885506,0.08007343134524933,0,0.0,0,0.0,0,0.0
