,best fitness,mean of last gen,std of last gen,mean of best individual,std of best indvidiual,g_better,g_better avg,g_worse,g_worse avg,g_same,g_same avg
"10,0,0",0.09018455392085396,1.0803579708617449e+23,8.360779993813343e+23,0.3727603158583844,0.12286816726744294,0,0.0,0,0.0,0,0.0
"50,0,0",0.0,1.8352107094321129e+50,1.82601160032848e+51,0.27107812321116814,0.12807844238200244,0,0.0,0,0.0,0,0.0
"100,0,0",0.12187932192563014,1.0058853337499011e+51,9.992875988202453e+51,0.3144801104126629,0.10291718558624906,0,0.0,0,0.0,0,0.0
"10,5,0",0.19988257373530144,1.4259068596393978e+24,1.1445390692019562e+25,0.381484240753667,0.09518534597623889,2036,101.8,23714,1185.7,0,0.0
"50,5,0",0.07325857453084257,1.3105836485549946e+24,1.2615882830381003e+25,0.34140718425485905,0.10771718699704491,1403,70.15,29280,1464.0,0,0.0
"100,5,0",0.12226624476574706,9.827804743932684e+23,7.847550452418463e+24,0.35815451121434394,0.09711123802439649,1039,51.95,21701,1085.05,0,0.0
"10,5,30",0.20848560675127112,8.559067159699305e+49,8.51616429725265e+50,0.36476613011131714,0.08032433919560918,912,45.6,3127,156.35,0,0.0
"50,5,30",0.04324727850917919,7.294133675504536e+48,7.257571371703349e+49,0.28975095899817965,0.12946064655012596,933,46.65,4408,220.4,0,0.0
"100,5,30",0.19336952781378067,7.645797878131228e+22,7.607472835397023e+23,0.3741877630936653,0.09922808137661217,863,43.15,4452,222.6,0,0.0
"10,10,0",0.16776289758895796,3.8957886010427e+22,3.876260715660658e+23,0.39980740907120305,0.10408279295841603,3382,169.1,24035,1201.75,0,0.0
"50,10,0",0.07325857453084257,2.8571826960030692e+23,2.842860888041477e+24,0.3579382016210116,0.09772528236683037,1587,79.35,27517,1375.85,0,0.0
"100,10,0",0.17089606418695122,3.1828687130226346e+78,3.1669143834172374e+79,0.34991223649998504,0.07547632955650035,1592,79.6,23889,1194.45,0,0.0
"10,10,30",0.17717909640147766,3.169126500570574e+23,3.1532410546693856e+24,0.32947346095200347,0.08402981479614634,1228,61.4,3719,185.95,0,0.0
"50,10,30",0.16408060776414768,7.957171782556022e+77,7.91728595854253e+78,0.29741985693772344,0.09415581183671225,1296,64.8,6046,302.3,0,0.0
"100,10,30",0.1674930655474311,3.377970239506925e+23,2.371789149630103e+24,0.37512720516735826,0.0932901328300698,1425,71.25,5517,275.85,0,0.0
