,best fitness,mean of last gen,std of last gen,mean of best individual,std of best indvidiual,g_better,g_better avg,g_worse,g_worse avg,g_same,g_same avg
"10,0,0",0.09018455392085396,1.0803579708617449e+23,8.360779993813343e+23,0.3727603158583844,0.12286816726744294,0,0.0,0,0.0,0,0.0
"50,0,0",0.0,1.8352107094321129e+50,1.82601160032848e+51,0.27107812321116814,0.12807844238200244,0,0.0,0,0.0,0,0.0
"100,0,0",0.12187932192563014,1.0058853337499011e+51,9.992875988202453e+51,0.3144801104126629,0.10291718558624906,0,0.0,0,0.0,0,0.0
"10,5,0",0.12095524544055435,10.911012275594505,63.091415565122304,0.3024739814936263,0.13427208840312171,2610,130.5,4528,226.4,0,0.0
"50,5,0",0.0,2.209187706151172e+49,2.198114013830807e+50,0.3114416402849166,0.12999343219254114,418,20.9,436,21.8,0,0.0
"100,5,0",0.1674930655474311,1.3761491286230558e+52,1.3692510945651625e+53,0.3331558605466679,0.09951786588091008,688,34.4,565,28.25,0,0.0
"10,5,30",0.11761416387514366,3.169126500570574e+23,3.153241054669386e+24,0.36596968519454154,0.10816036936881987,1271,63.55,650,32.5,0,0.0
"50,5,30",0.057091971949628825,2.209187706151172e+49,2.198114013830807e+50,0.31198603810433967,0.1285186106970036,419,20.95,184,9.2,0,0.0
"100,5,30",0.17589331381833978,1.3761491286230558e+52,1.3692510945651625e+53,0.3515007538695769,0.09180890977427672,261,13.05,183,9.15,0,0.0
"10,10,0",0.16408060776414768,8.112693592689403e+47,8.072028205821324e+48,0.378314104660837,0.12008679886192283,4330,216.5,6733,336.65,0,0.0
"50,10,0",0.0,1.0476665258432486e+50,1.0424150314911701e+51,0.27434061336638726,0.1482421316945187,1327,66.35,2161,108.05,0,0.0
"100,10,0",0.0692448758238031,1.004336277661869e+51,9.993019789039856e+51,0.2786974881261631,0.109861216571192,928,46.4,1778,88.9,0,0.0
"10,10,30",0.0,1.2661312953387742e+23,1.259784732589612e+24,0.3407014516818208,0.14878472566863318,1809,90.45,596,29.8,0,0.0
"50,10,30",0.0,2.1446795843520028e+26,2.1327463942975758e+27,0.28667067843254035,0.12150568294668967,595,29.75,426,21.3,0,0.0
"100,10,30",0.05415941474620996,1.2578977610257963e+24,5.831888032363702e+24,0.31051002218090956,0.12079684328000609,462,23.1,347,17.35,0,0.0
