,best_fitness,mean_fitness
0,-2.0,-0.71
1,-2.05,-1.9200000000000004
2,-2.1,-1.97
3,-2.2,-2.08
4,-2.2,-1.9300000000000002
5,-2.35,-2.1
6,-2.5,-2.15
7,-2.55,-2.3599999999999994
8,-2.6,-2.2199999999999998
9,-2.6,-2.41
10,-2.65,-2.32
11,-2.7,-2.41
12,-2.9,-2.66
13,-2.95,-2.6399999999999997
14,-3.0,-2.5799999999999996
15,-3.1,-2.6399999999999997
16,-3.2,-2.7399999999999993
17,-3.3,-2.7999999999999994
18,-3.45,-3.0299999999999994
19,-3.6,-3.1400000000000006
20,-3.65,-3.2399999999999998
21,-3.7,-3.2700000000000005
22,-3.85,-3.18
23,-4.05,-3.47
24,-4.05,-3.3600000000000003
25,-4.1,-3.44
26,-4.1,-3.54
27,-4.1,-3.63
28,-4.1,-3.5700000000000003
29,-4.25,-3.7800000000000002
30,-4.25,-3.72
31,-4.3,-3.5700000000000003
32,-4.3,-3.4599999999999995
33,-4.3,-3.7199999999999998
34,-4.35,-3.7300000000000004
35,-4.35,-3.8200000000000003
36,-4.35,-3.6
37,-4.35,-3.91
38,-4.45,-3.6199999999999997
39,-4.5,-4.029999999999999
40,-4.5,-3.939999999999999
41,-4.5,-3.8200000000000003
42,-4.5,-3.7399999999999998
43,-4.5,-3.65
44,-4.5,-3.72
45,-4.75,-3.939999999999999
46,-4.75,-3.7600000000000002
47,-4.75,-4.08
48,-4.75,-3.96
49,-4.75,-4.02
50,-4.75,-4.07
51,-4.8,-4.0
52,-4.8,-4.36
53,-4.95,-4.0600000000000005
54,-4.95,-4.13
55,-4.95,-3.95
56,-4.95,-4.01
57,-5.3,-4.43
58,-5.4,-4.1899999999999995
59,-5.7,-4.39
60,-5.7,-4.6899999999999995
61,-5.85,-4.46
62,-5.85,-4.76
63,-5.85,-4.75
64,-5.85,-4.81
65,-5.95,-4.79
66,-5.95,-4.880000000000001
67,-6.0,-4.960000000000001
68,-6.1,-4.6899999999999995
69,-6.1,-5.13
70,-6.4,-4.95
71,-6.4,-5.149999999999999
72,-6.45,-5.249999999999999
73,-6.45,-4.950000000000001
74,-6.8,-5.39
75,-6.85,-5.74
76,-6.85,-5.540000000000001
77,-6.95,-5.54
78,-6.95,-5.739999999999999
79,-7.0,-5.88
80,-7.05,-6.06
81,-7.05,-5.01
82,-7.05,-5.709999999999999
83,-7.05,-5.909999999999999
84,-7.05,-5.210000000000001
85,-7.05,-5.68
86,-7.05,-5.3999999999999995
87,-7.2,-5.709999999999999
88,-7.2,-6.33
89,-7.25,-5.7
90,-7.35,-5.489999999999999
91,-7.35,-5.859999999999999
92,-7.55,-5.8999999999999995
93,-7.65,-6.17
94,-7.65,-6.17
95,-7.65,-6.039999999999999
96,-7.7,-6.08
97,-7.8,-6.409999999999999
98,-7.85,-6.4
99,-7.85,-6.0200000000000005
100,-7.85,-6.379999999999999
101,-7.85,-5.849999999999999
102,-7.95,-6.56
103,-7.95,-6.669999999999999
104,-8.1,-6.3100000000000005
105,-8.1,-6.07
106,-8.15,-6.640000000000001
107,-8.4,-6.640000000000001
108,-8.4,-6.7
109,-8.4,-6.4300000000000015
110,-8.4,-6.55
111,-8.4,-6.529999999999999
112,-8.4,-6.239999999999999
113,-8.4,-6.65
114,-8.4,-6.51
115,-8.4,-7.05
116,-8.4,-6.51
117,-8.4,-6.57
118,-8.4,-6.999999999999998
119,-8.4,-6.630000000000001
120,-8.5,-7.219999999999999
121,-8.55,-6.659999999999999
122,-8.55,-6.459999999999999
123,-8.6,-6.36
124,-8.65,-6.839999999999999
125,-8.7,-6.63
126,-8.85,-7.0699999999999985
127,-8.85,-7.12
128,-8.85,-7.12
129,-9.0,-7.140000000000001
130,-9.0,-7.210000000000001
131,-9.05,-6.890000000000001
132,-9.2,-6.81
133,-9.2,-6.859999999999998
134,-9.2,-6.82
135,-9.2,-7.35
136,-9.2,-6.269999999999999
137,-9.2,-7.359999999999999
138,-9.2,-7.25
139,-9.2,-7.0200000000000005
140,-9.2,-7.7700000000000005
141,-9.3,-7.57
142,-9.3,-7.480000000000001
143,-9.35,-6.779999999999999
144,-9.45,-7.470000000000001
145,-9.55,-7.149999999999999
146,-9.6,-7.860000000000001
147,-9.6,-7.68
148,-9.6,-7.130000000000003
149,-9.65,-7.42
150,-9.7,-6.960000000000001
151,-9.85,-7.7700000000000005
152,-9.95,-7.780000000000001
153,-9.95,-7.609999999999999
154,-9.95,-7.969999999999999
155,-9.95,-7.370000000000002
156,-9.95,-7.460000000000001
157,-9.95,-7.000000000000002
158,-9.95,-7.69
159,-9.95,-6.969999999999999
160,-9.95,-7.4700000000000015
161,-9.95,-7.720000000000001
162,-10.0,-7.419999999999999
163,-10.0,-7.469999999999999
164,-10.05,-7.790000000000001
165,-10.05,-7.389999999999999
166,-10.05,-7.55
167,-10.05,-7.470000000000001
168,-10.15,-7.85
169,-10.45,-7.790000000000001
170,-10.45,-7.419999999999999
171,-10.45,-8.140000000000002
172,-10.45,-7.43
173,-10.45,-7.989999999999999
174,-10.45,-8.36
175,-10.45,-7.76
176,-10.45,-8.23
177,-10.5,-8.2
178,-10.5,-8.5
179,-10.5,-8.450000000000001
180,-10.55,-7.549999999999999
181,-10.55,-7.499999999999998
182,-10.55,-7.42
183,-10.55,-8.280000000000001
184,-10.55,-8.03
185,-10.55,-7.7
186,-10.6,-7.470000000000001
187,-10.6,-7.779999999999999
188,-10.75,-8.02
189,-10.75,-8.01
190,-10.75,-8.389999999999997
191,-10.75,-8.3
192,-10.75,-7.699999999999998
193,-10.75,-8.33
194,-10.75,-8.49
195,-10.75,-7.4
196,-10.75,-8.080000000000002
197,-10.75,-7.460000000000001
198,-10.8,-7.409999999999998
199,-10.8,-7.31
200,-10.95,-8.399999999999999
201,-10.95,-8.110000000000001
202,-10.95,-7.899999999999999
203,-10.95,-7.7
204,-10.95,-7.55
205,-10.95,-8.37
206,-10.95,-8.180000000000001
207,-10.95,-8.93
208,-10.95,-7.740000000000002
209,-10.95,-7.910000000000001
210,-10.95,-8.42
211,-10.95,-8.330000000000002
212,-10.95,-7.88
213,-10.95,-7.969999999999999
214,-11.0,-7.5600000000000005
215,-11.0,-8.239999999999998
216,-11.1,-8.35
217,-11.1,-8.309999999999999
218,-11.1,-8.57
219,-11.1,-8.440000000000001
220,-11.15,-8.39
221,-11.15,-8.129999999999999
222,-11.15,-8.620000000000001
223,-11.15,-8.510000000000002
224,-11.15,-8.120000000000001
225,-11.15,-8.440000000000001
226,-11.15,-8.28
227,-11.15,-8.709999999999999
228,-11.15,-8.39
229,-11.15,-8.71
230,-11.15,-8.129999999999999
231,-11.15,-8.09
232,-11.15,-8.33
233,-11.2,-8.899999999999999
234,-11.2,-8.349999999999998
235,-11.2,-8.700000000000001
236,-11.35,-8.319999999999999
237,-11.35,-8.5
238,-11.35,-8.63
239,-11.45,-8.639999999999999
240,-11.45,-7.940000000000002
241,-11.45,-8.299999999999999
242,-11.45,-8.27
243,-11.45,-7.740000000000002
244,-11.45,-8.139999999999999
245,-11.45,-8.430000000000001
246,-11.45,-8.77
247,-11.45,-8.52
248,-11.45,-8.809999999999999
249,-11.45,-8.5
250,-11.45,-8.72
251,-11.85,-8.92
252,-11.9,-9.76
253,-11.9,-8.999999999999996
254,-11.9,-8.69
255,-11.9,-8.719999999999997
256,-11.9,-8.959999999999997
257,-11.9,-9.78
258,-11.9,-9.02
259,-11.95,-9.190000000000001
260,-11.95,-9.420000000000002
261,-11.95,-8.930000000000003
262,-11.95,-8.94
263,-11.95,-8.620000000000001
264,-11.95,-8.94
265,-11.95,-8.23
266,-11.95,-9.290000000000001
267,-12.1,-8.779999999999998
268,-12.15,-9.279999999999998
269,-12.15,-9.57
270,-12.15,-8.580000000000002
271,-12.2,-9.35
272,-12.2,-8.87
273,-12.2,-9.159999999999998
274,-12.2,-8.53
275,-12.2,-8.859999999999998
276,-12.3,-9.620000000000001
277,-12.3,-10.139999999999997
278,-12.3,-8.61
279,-12.3,-9.210000000000003
280,-12.3,-8.819999999999999
281,-12.3,-9.08
282,-12.35,-9.69
283,-12.35,-8.150000000000002
284,-12.65,-8.76
285,-12.65,-9.09
286,-12.65,-8.98
287,-12.65,-9.72
288,-12.65,-9.05
289,-12.65,-9.4
290,-12.65,-8.99
291,-12.65,-9.16
292,-12.95,-9.54
293,-12.95,-9.84
294,-12.95,-9.66
295,-12.95,-9.19
296,-12.95,-8.66
297,-12.95,-9.3
298,-13.05,-9.56
299,-13.05,-9.550000000000002
300,-13.15,-9.489999999999998
301,-13.15,-9.040000000000001
302,-13.15,-9.059999999999999
303,-13.15,-9.190000000000001
304,-13.15,-8.98
305,-13.15,-8.91
306,-13.25,-9.979999999999999
307,-13.25,-9.68
308,-13.25,-9.35
309,-13.25,-9.820000000000002
310,-13.25,-9.129999999999999
311,-13.25,-9.099999999999998
312,-13.3,-9.05
313,-13.3,-9.75
314,-13.3,-10.2
315,-13.3,-10.080000000000002
316,-13.3,-10.1
317,-13.3,-8.76
318,-13.3,-9.23
319,-13.3,-9.790000000000001
320,-13.3,-8.94
321,-13.3,-9.33
322,-13.35,-9.33
323,-13.35,-9.42
324,-13.35,-9.78
325,-13.35,-9.88
326,-13.35,-9.28
327,-13.35,-8.77
328,-13.35,-9.349999999999998
329,-13.35,-9.639999999999997
330,-13.35,-9.56
331,-13.35,-9.870000000000001
332,-13.35,-9.35
333,-13.35,-9.3
334,-13.35,-8.919999999999998
335,-13.35,-9.150000000000002
336,-13.35,-9.389999999999999
337,-13.35,-8.77
338,-13.35,-9.200000000000003
339,-13.45,-8.9
340,-13.45,-9.710000000000003
341,-13.45,-9.76
342,-13.45,-9.690000000000001
343,-13.45,-9.470000000000002
344,-13.55,-9.66
345,-13.55,-9.470000000000002
346,-13.55,-10.4
347,-13.55,-9.260000000000002
348,-13.55,-9.270000000000001
349,-13.55,-9.370000000000001
350,-13.55,-9.499999999999998
351,-13.55,-9.77
352,-13.55,-9.87
353,-13.6,-9.85
354,-13.6,-9.76
355,-13.65,-8.790000000000001
356,-13.65,-9.780000000000001
357,-13.65,-9.410000000000002
358,-13.65,-9.639999999999997
359,-13.65,-9.76
360,-13.65,-9.499999999999998
361,-13.65,-9.48
362,-13.65,-9.56
363,-13.65,-9.44
364,-13.65,-9.91
365,-13.65,-9.029999999999998
366,-13.65,-9.549999999999997
367,-13.65,-10.39
368,-13.65,-9.66
369,-13.7,-9.16
370,-13.85,-9.8
371,-13.85,-9.6
372,-14.05,-9.649999999999999
373,-14.05,-9.15
374,-14.05,-8.639999999999999
375,-14.2,-10.6
376,-14.2,-9.810000000000002
377,-14.45,-10.36
378,-14.45,-10.110000000000003
379,-14.45,-10.099999999999998
380,-14.5,-10.01
381,-14.5,-10.209999999999999
382,-14.5,-9.879999999999999
