,best_fitness,mean_fitness
0,-4.7,-1.6500000000000004
1,-6.1,-2.75
2,-6.4,-3.0800000000000005
3,-7.2,-2.9199999999999995
4,-8.1,-3.2999999999999994
5,-10.25,-4.35
6,-12.0,-5.029999999999999
7,-12.15,-4.99
8,-12.15,-4.75
9,-12.95,-4.86
10,-14.8,-5.66
11,-15.7,-6.369999999999999
12,-17.85,-6.709999999999998
13,-17.85,-6.5200000000000005
14,-18.25,-6.5200000000000005
15,-18.25,-6.44
16,-18.4,-6.94
17,-19.35,-7.110000000000001
18,-19.35,-7.160000000000001
19,-19.4,-6.6
20,-19.55,-7.07
21,-19.7,-7.409999999999999
22,-19.7,-7.359999999999999
23,-19.75,-6.94
24,-19.95,-6.93
25,-19.95,-7.08
26,-20.25,-7.750000000000002
27,-20.25,-6.649999999999999
28,-21.1,-7.290000000000001
29,-21.1,-7.410000000000001
30,-21.25,-7.07
31,-21.3,-7.370000000000002
32,-21.75,-6.92
33,-22.05,-7.9
34,-22.05,-7.910000000000001
35,-23.2,-7.420000000000002
36,-23.2,-8.18
37,-23.35,-7.67
38,-23.55,-9.23
39,-23.7,-8.490000000000002
40,-23.7,-8.27
41,-25.55,-8.549999999999999
42,-25.8,-8.430000000000001
43,-26.15,-9.6
44,-26.15,-9.25
45,-26.15,-8.27
46,-26.7,-9.92
47,-26.7,-9.650000000000002
48,-26.7,-9.209999999999999
49,-26.7,-8.93
50,-27.1,-9.59
51,-27.1,-9.37
52,-27.1,-9.1
53,-28.15,-9.38
54,-28.15,-9.75
55,-28.15,-10.34
56,-28.15,-9.710000000000003
57,-28.4,-10.190000000000001
58,-28.5,-10.519999999999998
59,-28.6,-10.41
60,-29.15,-9.37
61,-29.25,-10.59
62,-29.25,-9.71
63,-29.5,-10.41
64,-29.5,-9.239999999999998
65,-29.6,-10.71
66,-29.6,-10.15
67,-29.8,-10.6
68,-29.8,-9.709999999999999
69,-29.8,-10.010000000000002
70,-30.2,-10.869999999999997
71,-30.2,-10.06
72,-30.4,-10.719999999999999
73,-30.4,-10.92
74,-30.45,-9.58
75,-30.45,-9.85
76,-30.45,-10.48
77,-30.45,-11.520000000000001
