,best_fitness,mean_fitness
0,-2.95,-1.06
1,-3.55,-1.7399999999999998
2,-3.75,-1.6199999999999999
3,-4.0,-1.9
4,-4.45,-1.8900000000000001
5,-5.55,-2.2600000000000002
6,-6.15,-2.51
7,-6.35,-2.8
8,-6.55,-2.9999999999999996
9,-7.3,-3.0900000000000003
10,-7.5,-3.0700000000000007
11,-7.65,-3.1
12,-7.7,-3.0000000000000004
13,-7.7,-2.8099999999999996
14,-7.8,-3.09
15,-7.8,-3.37
16,-8.15,-3.4200000000000004
17,-8.35,-3.66
18,-8.8,-3.4299999999999997
19,-8.95,-3.45
20,-9.0,-3.66
21,-9.25,-4.090000000000001
22,-9.4,-3.65
23,-9.4,-3.72
24,-9.65,-3.7299999999999995
25,-9.65,-3.4299999999999997
26,-10.3,-3.7
27,-10.65,-4.1499999999999995
28,-10.7,-3.7600000000000002
29,-10.75,-4.260000000000001
30,-10.75,-3.71
31,-11.0,-4.159999999999999
32,-11.0,-4.01
33,-11.0,-4.16
34,-11.1,-3.9599999999999995
35,-11.5,-4.19
36,-11.5,-4.19
37,-11.5,-4.38
38,-11.5,-4.26
39,-11.5,-3.94
40,-11.55,-4.2
41,-11.75,-4.49
42,-11.75,-4.51
43,-11.75,-4.2299999999999995
44,-12.15,-4.3100000000000005
45,-12.45,-4.809999999999999
46,-12.45,-4.29
47,-12.45,-4.630000000000001
48,-12.45,-4.570000000000001
49,-12.45,-4.389999999999999
50,-12.45,-4.34
51,-12.6,-4.34
52,-12.65,-4.209999999999999
53,-12.65,-5.08
54,-12.65,-4.41
55,-12.65,-3.9200000000000004
56,-12.8,-4.49
57,-12.8,-4.369999999999999
58,-13.05,-5.1899999999999995
59,-13.05,-4.53
60,-13.05,-4.529999999999999
61,-13.2,-4.43
62,-13.2,-4.5200000000000005
63,-13.3,-5.04
64,-13.3,-4.630000000000001
65,-13.3,-4.16
66,-13.45,-4.74
67,-13.45,-4.420000000000001
68,-13.5,-4.729999999999999
69,-13.55,-4.750000000000001
70,-13.55,-5.25
71,-13.55,-4.18
72,-13.55,-4.989999999999999
73,-13.55,-4.610000000000001
74,-13.6,-4.89
75,-13.9,-4.79
76,-14.15,-4.83
77,-14.15,-4.9
78,-14.25,-5.210000000000001
79,-14.4,-5.72
80,-14.4,-5.3500000000000005
81,-14.4,-5.129999999999998
82,-15.2,-4.87
83,-15.2,-5.010000000000001
84,-15.2,-4.66
85,-15.2,-4.4799999999999995
86,-15.2,-5.470000000000001
87,-15.45,-5.359999999999999
88,-15.45,-5.509999999999999
89,-15.45,-4.91
90,-15.45,-5.42
91,-15.45,-5.720000000000001
92,-15.45,-5.389999999999999
93,-15.75,-5.71
94,-15.75,-5.1
95,-15.9,-5.460000000000001
96,-16.2,-5.529999999999999
97,-16.2,-5.79
98,-16.35,-6.290000000000001
99,-16.35,-5.91
100,-16.35,-5.14
101,-16.35,-5.479999999999999
102,-16.35,-5.139999999999999
103,-16.35,-5.62
104,-16.4,-5.54
105,-16.4,-5.57
106,-16.4,-5.16
107,-16.45,-5.459999999999999
108,-16.5,-5.650000000000001
109,-17.35,-6.07
110,-17.35,-5.49
111,-17.35,-6.280000000000001
112,-17.35,-5.63
113,-17.35,-5.47
114,-17.75,-6.24
115,-17.75,-6.06
116,-17.75,-5.76
117,-17.75,-6.16
118,-18.0,-6.24
119,-18.1,-5.950000000000001
120,-18.1,-6.32
121,-18.1,-6.270000000000001
122,-18.2,-6.709999999999999
123,-18.2,-5.96
124,-18.2,-6.11
125,-18.2,-6.33
126,-18.2,-6.0200000000000005
127,-18.2,-6.710000000000001
128,-18.2,-6.09
129,-18.5,-6.35
130,-18.9,-7.08
131,-18.9,-6.290000000000001
132,-18.95,-6.37
133,-18.95,-6.150000000000002
134,-18.95,-5.77
135,-18.95,-6.139999999999999
136,-18.95,-6.720000000000001
137,-18.95,-6.340000000000001
138,-18.95,-6.2
139,-18.95,-5.79
140,-18.95,-6.01
141,-18.95,-6.5200000000000005
142,-18.95,-6.519999999999999
143,-18.95,-6.51
144,-19.15,-6.57
145,-19.15,-6.26
146,-19.15,-6.070000000000001
147,-19.15,-6.139999999999999
148,-19.15,-5.68
149,-19.25,-6.51
150,-19.55,-6.840000000000001
151,-19.65,-6.939999999999998
152,-19.7,-6.76
153,-19.8,-6.75
154,-19.8,-6.709999999999999
155,-19.8,-5.98
156,-19.8,-6.110000000000001
157,-19.8,-6.0600000000000005
158,-20.05,-6.56
159,-20.05,-6.450000000000001
160,-20.05,-6.65
161,-20.05,-6.510000000000001
162,-20.35,-6.83
163,-20.35,-6.660000000000001
164,-20.35,-6.719999999999999
165,-20.35,-6.790000000000002
166,-20.35,-6.06
167,-20.4,-7.169999999999999
168,-20.4,-6.779999999999999
169,-21.25,-6.889999999999999
170,-21.35,-7.139999999999999
171,-21.4,-7.269999999999999
172,-21.4,-6.860000000000001
173,-21.4,-6.900000000000001
174,-21.4,-7.15
175,-21.6,-7.3199999999999985
176,-21.6,-7.159999999999998
177,-21.6,-7.029999999999999
178,-21.6,-7.269999999999999
179,-21.6,-6.88
180,-22.3,-7.51
181,-22.3,-6.769999999999999
182,-22.3,-7.42
183,-22.3,-7.4
184,-22.4,-7.150000000000001
185,-22.4,-7.790000000000002
186,-22.4,-6.610000000000001
187,-22.4,-7.019999999999999
188,-22.4,-7.580000000000001
189,-22.4,-7.420000000000002
190,-22.4,-6.889999999999999
191,-22.4,-7.140000000000001
192,-22.4,-7.159999999999999
193,-22.4,-7.44
194,-22.4,-7.569999999999998
195,-22.4,-6.890000000000001
196,-22.4,-7.610000000000001
197,-22.4,-7.51
198,-22.4,-7.040000000000001
199,-22.65,-7.690000000000002
200,-22.65,-7.299999999999999
201,-22.85,-7.920000000000002
