,mutation,strategy,gems,n_cols,overall_best,overall_best_mean,overall_best_std,better_gems_total,better_gems_mean,worse_gems_total,worse_gems_mean
1,point_mutation,MatchPMStrategy,0,10,-89,-68,29.03446228191595,0,0.0,0,0.0
2,point_mutation,MatchPMStrategy,0,50,-89,-85,2.23606797749979,0,0.0,0,0.0
3,point_mutation,MatchPMStrategy,0,100,-89,-73,25.855366947695792,0,0.0,0,0.0
4,point_mutation,MatchPMStrategy,5,10,-73,-59,18.384776310850235,2783,139.15,647,32.35
5,point_mutation,MatchPMStrategy,5,50,-89,-87.2,2.3874672772626644,1238,61.9,323,16.15
6,point_mutation,MatchPMStrategy,5,100,-89,-88.2,0.4472135954999579,781,39.05,200,10.0
7,point_mutation,MatchPMStrategy,10,10,-89,-60.4,35.21789317946205,4516,225.8,1118,55.9
8,point_mutation,MatchPMStrategy,10,50,-89,-86.4,2.8809720581775866,2030,101.5,712,35.6
9,point_mutation,MatchPMStrategy,10,100,-89,-88.2,0.4472135954999579,1174,58.7,462,23.1
10,single_mutation,MatchSMStrategy,0,10,-75,-58.8,16.39207125411551,0,0.0,0,0.0
11,single_mutation,MatchSMStrategy,0,50,-89,-84.2,6.418722614352485,0,0.0,0,0.0
12,single_mutation,MatchSMStrategy,0,100,-89,-85,4.301162633521313,0,0.0,0,0.0
13,single_mutation,MatchSMStrategy,5,10,-89,-81,10.222524150130436,1867,93.35,500,25.0
14,single_mutation,MatchSMStrategy,5,50,-89,-79.2,15.368799562750501,559,27.95,384,19.2
15,single_mutation,MatchSMStrategy,5,100,-89,-77.8,19.24058211177614,332,16.6,245,12.25
16,single_mutation,MatchSMStrategy,10,10,-84,-53.4,35.039977168942336,3202,160.1,986,49.3
17,single_mutation,MatchSMStrategy,10,50,-89,-84.4,8.61974477580398,861,43.05,414,20.7
18,single_mutation,MatchSMStrategy,10,100,-89,-84.2,9.06642156531451,575,28.75,390,19.5
19,single_mutation,MatchByActiveStrategy,0,10,-75,-58.8,16.39207125411551,0,0.0,0,0.0
20,single_mutation,MatchByActiveStrategy,0,50,-89,-84.2,6.418722614352485,0,0.0,0,0.0
21,single_mutation,MatchByActiveStrategy,0,100,-89,-85,4.301162633521313,0,0.0,0,0.0
22,single_mutation,MatchByActiveStrategy,5,10,-82,-58,20.904544960366874,1659,82.95,4052,202.6
23,single_mutation,MatchByActiveStrategy,5,50,-89,-79.8,12.988456413292536,1095,54.75,2743,137.15
24,single_mutation,MatchByActiveStrategy,5,100,-89,-86.2,3.03315017762062,714,35.7,2769,138.45
25,single_mutation,MatchByActiveStrategy,10,10,-60,-43,13.30413469565007,2575,128.75,5432,271.6
26,single_mutation,MatchByActiveStrategy,10,50,-89,-88.4,0.5477225575051661,1427,71.35,3663,183.15
27,single_mutation,MatchByActiveStrategy,10,100,-89,-84.2,9.06642156531451,1393,69.65,3634,181.7
28,probabilistic_mutation,MatchSMStrategy,0,10,-39,-16,18.466185312619388,0,0.0,0,0.0
29,probabilistic_mutation,MatchSMStrategy,0,50,-88,-43.8,40.647263130498715,0,0.0,0,0.0
30,probabilistic_mutation,MatchSMStrategy,0,100,-89,-55.2,36.75187070068679,0,0.0,0,0.0
31,probabilistic_mutation,MatchSMStrategy,5,10,-27,-11.8,12.517987058628874,17,0.85,50,2.5
32,probabilistic_mutation,MatchSMStrategy,5,50,-88,-43.8,40.647263130498715,0,0.0,0,0.0
33,probabilistic_mutation,MatchSMStrategy,5,100,-89,-55.2,36.75187070068679,0,0.0,0,0.0
34,probabilistic_mutation,MatchSMStrategy,10,10,-28,-11,12.288205727444508,17,0.85,54,2.7
35,probabilistic_mutation,MatchSMStrategy,10,50,-88,-43.8,40.647263130498715,0,0.0,0,0.0
36,probabilistic_mutation,MatchSMStrategy,10,100,-89,-55.2,36.75187070068679,0,0.0,0,0.0
37,probabilistic_mutation,MatchByActiveStrategy,0,10,-39,-16,18.466185312619388,0,0.0,0,0.0
38,probabilistic_mutation,MatchByActiveStrategy,0,50,-88,-43.8,40.647263130498715,0,0.0,0,0.0
39,probabilistic_mutation,MatchByActiveStrategy,0,100,-89,-55.2,36.75187070068679,0,0.0,0,0.0
40,probabilistic_mutation,MatchByActiveStrategy,5,10,-29,-13,12.82575533838066,217,10.85,3969,198.45
41,probabilistic_mutation,MatchByActiveStrategy,5,50,-83,-39,37.821951298154886,132,6.6,2901,145.05
42,probabilistic_mutation,MatchByActiveStrategy,5,100,-89,-40.6,42.6532530998516,64,3.2,1515,75.75
43,probabilistic_mutation,MatchByActiveStrategy,10,10,-28,-14,12.020815280171307,187,9.35,4033,201.65
44,probabilistic_mutation,MatchByActiveStrategy,10,50,-89,-42,43.04067843331469,157,7.85,3499,174.95
45,probabilistic_mutation,MatchByActiveStrategy,10,100,-89,-51.6,36.198066246693344,80,4.0,1896,94.8
