,best_fitness,mean_fitness
0,-3.65,-1.39
1,-4.35,-3.4899999999999993
2,-4.4,-3.4899999999999998
3,-4.85,-3.7399999999999998
4,-5.65,-4.51
5,-6.05,-4.380000000000001
6,-6.2,-4.62
7,-6.6,-4.859999999999999
8,-7.4,-5.529999999999999
9,-7.65,-5.339999999999999
10,-7.85,-5.35
11,-8.0,-5.659999999999999
12,-8.3,-5.699999999999998
13,-8.3,-5.83
14,-8.3,-6.319999999999999
15,-8.45,-6.110000000000001
16,-8.7,-6.75
17,-9.0,-7.199999999999998
18,-9.0,-7.12
19,-9.3,-7.779999999999999
20,-9.35,-8.01
21,-9.45,-7.079999999999998
22,-9.5,-7.49
23,-9.85,-7.839999999999999
24,-10.5,-8.32
25,-10.55,-8.6
26,-10.9,-7.92
27,-11.1,-8.709999999999997
28,-11.2,-8.719999999999999
29,-11.7,-8.66
30,-11.85,-8.65
31,-12.0,-9.080000000000002
32,-12.25,-9.1
33,-12.5,-9.4
34,-12.55,-9.39
35,-12.9,-10.48
36,-13.0,-9.32
37,-13.45,-10.289999999999997
38,-13.75,-10.85
39,-14.05,-10.479999999999999
40,-14.05,-10.559999999999999
41,-14.35,-11.51
42,-14.5,-11.02
43,-14.55,-10.849999999999998
44,-14.55,-11.71
45,-14.55,-11.3
46,-14.55,-10.85
47,-14.6,-11.75
48,-14.65,-11.490000000000004
49,-14.7,-11.93
50,-14.75,-10.98
51,-14.8,-12.009999999999998
52,-14.9,-11.44
53,-14.95,-11.670000000000002
54,-15.1,-11.43
55,-15.4,-11.77
56,-15.4,-11.09
57,-15.45,-11.48
58,-15.7,-12.040000000000001
59,-16.15,-12.929999999999998
60,-16.3,-12.680000000000001
61,-16.45,-12.38
62,-16.9,-12.929999999999998
63,-17.15,-13.2
64,-17.2,-14.089999999999998
65,-17.45,-14.040000000000001
66,-17.55,-13.510000000000002
67,-17.75,-13.579999999999998
68,-18.0,-13.830000000000002
69,-18.6,-14.27
70,-19.0,-14.879999999999995
71,-19.5,-14.669999999999998
72,-19.5,-14.229999999999999
73,-19.7,-16.31
74,-20.05,-15.020000000000001
75,-20.05,-14.879999999999999
76,-20.2,-14.919999999999998
77,-20.4,-15.470000000000002
78,-20.6,-16.18
79,-20.65,-17.36
80,-20.75,-15.700000000000003
81,-21.0,-15.970000000000002
82,-21.3,-17.130000000000003
83,-21.6,-16.619999999999997
84,-21.75,-15.179999999999996
85,-21.8,-16.05
86,-21.85,-17.04
87,-21.9,-16.830000000000002
88,-22.1,-16.79
89,-22.1,-16.229999999999997
90,-22.15,-16.32
91,-22.6,-16.95
92,-22.6,-17.060000000000002
93,-22.65,-16.580000000000005
94,-22.7,-15.870000000000001
95,-22.9,-17.65
96,-23.05,-17.2
97,-23.1,-16.84
98,-23.15,-17.919999999999998
99,-23.3,-17.349999999999998
100,-23.65,-17.570000000000004
101,-23.9,-18.21
102,-24.05,-18.619999999999997
103,-24.15,-18.14
104,-24.15,-17.250000000000004
105,-24.55,-18.34
106,-24.55,-19.009999999999998
107,-24.75,-20.070000000000004
108,-25.0,-19.97
109,-25.1,-18.2
110,-25.15,-17.830000000000005
111,-25.35,-18.82
112,-25.6,-19.880000000000003
113,-25.85,-20.02
114,-26.05,-20.139999999999997
115,-26.1,-19.6
116,-26.35,-20.489999999999995
117,-26.85,-20.299999999999994
118,-27.05,-19.719999999999995
119,-27.2,-20.72
120,-27.25,-20.009999999999998
121,-27.4,-20.33
122,-27.55,-20.990000000000002
123,-27.85,-21.709999999999997
124,-28.3,-18.669999999999998
125,-28.35,-20.479999999999997
126,-29.35,-23.5
127,-29.35,-22.7
128,-29.35,-22.79
129,-29.45,-21.220000000000006
130,-29.45,-22.09
131,-29.45,-22.660000000000004
132,-29.55,-22.16
133,-29.9,-23.139999999999997
134,-29.95,-22.27
135,-29.95,-22.909999999999997
136,-29.95,-22.37
137,-30.0,-21.620000000000005
138,-30.0,-23.11
139,-30.0,-23.970000000000002
140,-30.0,-21.93
141,-30.1,-21.76
142,-30.6,-21.949999999999996
143,-30.6,-23.540000000000003
144,-30.7,-22.249999999999996
145,-30.7,-23.37
146,-31.0,-23.860000000000003
147,-31.2,-22.92
148,-31.2,-23.699999999999996
149,-31.85,-25.01
150,-32.15,-23.229999999999993
151,-32.25,-25.090000000000003
152,-32.4,-24.13
153,-32.5,-24.9
154,-32.6,-24.660000000000004
155,-32.6,-25.020000000000003
156,-32.7,-23.17
157,-32.85,-24.84
158,-32.9,-24.13
159,-32.9,-24.96
160,-32.9,-24.869999999999997
161,-32.95,-25.18
162,-33.0,-25.42
163,-33.05,-24.46
164,-33.05,-24.779999999999998
165,-33.2,-24.339999999999996
166,-33.6,-26.880000000000006
167,-33.85,-26.29
168,-34.2,-25.99
169,-34.35,-26.130000000000006
170,-35.05,-27.629999999999995
171,-35.4,-26.840000000000003
172,-35.65,-27.2
173,-35.85,-25.73
174,-36.45,-26.220000000000006
175,-36.8,-26.160000000000004
176,-37.15,-30.140000000000008
177,-37.25,-28.359999999999996
178,-37.45,-27.380000000000003
179,-37.55,-29.51000000000001
180,-37.65,-29.249999999999993
181,-37.65,-28.490000000000002
182,-37.65,-30.339999999999996
183,-37.65,-27.619999999999994
184,-38.05,-29.95
185,-38.05,-29.790000000000003
186,-38.05,-27.78
187,-38.1,-30.119999999999997
188,-38.15,-28.809999999999995
189,-39.05,-29.389999999999997
190,-39.6,-29.77
191,-40.15,-30.380000000000006
192,-40.3,-30.95
193,-40.35,-31.82
194,-40.75,-31.68
195,-41.05,-31.55
196,-41.1,-33.309999999999995
197,-41.35,-32.449999999999996
198,-41.45,-31.570000000000004
199,-41.9,-32.559999999999995
200,-42.1,-32.870000000000005
201,-42.25,-32.099999999999994
202,-42.7,-33.86999999999999
203,-42.75,-33.57
204,-42.75,-32.94000000000001
205,-42.85,-32.67
206,-42.85,-33.489999999999995
207,-42.9,-35.09
208,-43.15,-31.540000000000003
209,-43.3,-33.209999999999994
210,-43.6,-35.41
211,-43.6,-34.57
212,-43.6,-34.019999999999996
213,-43.6,-32.470000000000006
214,-43.65,-34.040000000000006
215,-43.75,-32.83
216,-44.1,-35.03000000000001
217,-44.2,-33.17000000000001
218,-44.2,-34.04
219,-44.25,-33.82000000000001
220,-44.25,-32.94
221,-44.25,-36.760000000000005
222,-44.25,-34.0
223,-44.4,-36.35000000000001
224,-44.45,-35.290000000000006
225,-44.55,-35.35
226,-44.8,-36.64
227,-44.8,-35.81999999999999
228,-44.8,-35.92
229,-45.25,-36.00000000000001
230,-45.25,-37.11999999999999
231,-45.25,-33.06
232,-45.7,-38.06
233,-45.7,-35.85
234,-45.85,-36.96000000000001
235,-45.95,-36.03
236,-46.05,-35.900000000000006
237,-46.05,-37.239999999999995
238,-46.05,-35.650000000000006
239,-46.15,-35.160000000000004
240,-46.15,-36.92
241,-46.15,-36.730000000000004
242,-46.2,-34.849999999999994
243,-46.2,-36.78999999999999
244,-46.25,-35.449999999999996
245,-46.3,-35.290000000000006
246,-46.45,-35.18000000000001
247,-46.45,-36.55
248,-46.45,-36.47
249,-46.75,-38.269999999999996
250,-46.75,-36.52999999999999
251,-46.85,-35.71
252,-46.85,-35.67
253,-46.85,-36.45
254,-46.9,-36.99
255,-46.9,-36.13
256,-46.9,-36.00999999999999
257,-46.9,-35.760000000000005
258,-46.9,-35.86000000000001
259,-47.25,-38.93999999999999
260,-47.25,-39.019999999999996
261,-47.25,-39.370000000000005
262,-47.3,-37.72000000000001
263,-47.4,-37.2
264,-47.75,-37.82
265,-47.75,-37.1
266,-47.75,-38.22
267,-47.75,-35.8
268,-47.75,-37.769999999999996
269,-47.75,-35.7
270,-47.8,-39.739999999999995
271,-47.8,-37.8
272,-47.8,-36.89
273,-47.8,-38.17
274,-47.8,-37.300000000000004
275,-47.8,-37.14999999999999
276,-47.8,-37.17
277,-47.9,-38.13
278,-47.9,-38.17999999999999
279,-47.95,-36.209999999999994
280,-47.95,-37.2
281,-48.1,-38.33
282,-48.15,-38.83
283,-48.15,-39.239999999999995
284,-48.2,-38.239999999999995
285,-48.2,-38.300000000000004
286,-48.2,-39.48
287,-48.2,-37.94
288,-48.2,-38.61
289,-48.3,-36.230000000000004
290,-48.3,-39.690000000000005
291,-48.55,-39.67
292,-48.75,-38.56999999999999
293,-48.75,-36.67
294,-48.75,-37.239999999999995
295,-48.75,-39.92
296,-48.75,-38.53999999999999
297,-48.75,-37.87
298,-48.75,-36.71999999999999
299,-48.75,-37.46
300,-48.75,-38.72
301,-49.1,-38.26
302,-49.15,-38.470000000000006
303,-49.15,-39.85
304,-49.15,-39.050000000000004
305,-49.25,-40.79
306,-49.25,-39.34000000000001
307,-49.25,-38.31
308,-49.3,-37.83
309,-49.3,-39.55
310,-49.3,-39.87
311,-49.3,-39.78
312,-49.3,-36.709999999999994
313,-49.3,-39.989999999999995
314,-49.3,-39.82
315,-49.3,-38.53000000000001
316,-49.4,-39.72
317,-49.4,-38.72
318,-49.45,-39.269999999999996
319,-49.45,-39.56
320,-49.45,-38.98
321,-49.45,-38.5
322,-49.45,-38.6
323,-49.45,-38.849999999999994
324,-49.5,-40.300000000000004
325,-49.6,-39.339999999999996
326,-49.6,-40.21999999999999
327,-49.6,-40.58
328,-49.6,-39.25
329,-49.6,-38.309999999999995
330,-49.6,-40.22
331,-49.6,-37.970000000000006
332,-50.05,-42.059999999999995
333,-50.05,-39.03000000000001
334,-50.05,-36.3
335,-50.05,-40.019999999999996
336,-50.1,-40.47
337,-50.15,-40.33
338,-50.15,-40.39
339,-50.15,-42.03
340,-50.3,-40.4
341,-50.3,-38.980000000000004
342,-50.3,-41.06000000000001
343,-50.4,-39.67
344,-50.4,-38.290000000000006
345,-50.5,-40.38
346,-50.5,-38.60000000000001
347,-50.5,-40.08999999999999
348,-50.55,-39.82000000000001
349,-50.6,-38.660000000000004
350,-50.6,-40.269999999999996
351,-50.6,-38.17
352,-50.65,-39.36
353,-50.7,-39.51
354,-50.7,-39.16000000000001
355,-50.75,-40.85
356,-50.8,-40.59
357,-50.8,-41.93
358,-50.85,-37.790000000000006
359,-50.85,-40.8
360,-51.1,-39.77
361,-51.1,-40.769999999999996
362,-51.1,-39.779999999999994
363,-51.1,-42.279999999999994
364,-51.1,-42.08
365,-51.1,-41.8
366,-51.1,-40.72
367,-51.1,-40.279999999999994
368,-51.1,-42.260000000000005
369,-51.1,-41.69
370,-51.15,-42.21999999999999
371,-51.15,-40.4
372,-51.15,-41.019999999999996
373,-51.15,-40.92999999999999
374,-51.15,-40.62
375,-51.35,-42.18999999999998
376,-51.35,-43.0
377,-51.35,-40.88000000000001
378,-51.35,-42.32
379,-51.35,-41.75
380,-51.35,-42.87
381,-51.35,-42.64999999999999
382,-51.35,-42.13
383,-51.35,-40.91999999999999
384,-51.35,-40.919999999999995
385,-51.35,-41.11
386,-51.4,-40.67
387,-51.45,-40.42999999999999
388,-51.45,-41.839999999999996
389,-51.45,-41.14
390,-51.45,-41.209999999999994
391,-51.45,-40.7
392,-51.45,-41.78
393,-51.45,-41.75
394,-51.45,-40.71999999999999
395,-51.45,-42.919999999999995
396,-51.45,-40.739999999999995
397,-51.45,-41.25
398,-51.7,-42.71
399,-51.95,-41.79
400,-51.95,-42.56
401,-51.95,-42.46999999999999
402,-52.0,-41.61999999999999
403,-52.0,-41.980000000000004
404,-52.0,-42.05
405,-52.1,-42.06000000000002
406,-52.1,-40.85
407,-52.1,-42.37
408,-52.1,-42.870000000000005
409,-52.1,-41.42
410,-52.1,-42.61
411,-52.1,-42.910000000000004
412,-52.1,-41.150000000000006
413,-52.1,-41.43000000000001
414,-52.1,-40.45
415,-52.1,-42.08
416,-52.1,-42.39
417,-52.1,-43.72
418,-52.1,-42.24999999999999
419,-52.25,-43.21999999999999
420,-52.3,-43.01
421,-52.3,-40.92
422,-52.3,-41.93
423,-52.3,-43.58
424,-52.3,-41.449999999999996
425,-52.3,-42.209999999999994
426,-52.3,-42.37
427,-52.35,-42.64
428,-52.35,-41.230000000000004
429,-52.35,-42.32
430,-52.5,-43.129999999999995
431,-52.5,-43.29
432,-52.5,-45.06000000000001
433,-52.55,-42.69
434,-52.65,-44.339999999999996
435,-52.65,-42.72000000000001
436,-52.65,-41.6
437,-52.65,-42.37000000000001
438,-52.65,-44.84
439,-52.65,-41.959999999999994
440,-53.05,-41.269999999999996
441,-53.05,-42.980000000000004
442,-53.05,-42.55
443,-53.15,-43.53
444,-53.15,-43.949999999999996
445,-53.15,-42.709999999999994
446,-53.15,-40.800000000000004
447,-53.15,-42.540000000000006
448,-53.15,-43.14999999999999
449,-53.2,-43.24999999999999
450,-53.2,-42.769999999999996
451,-53.2,-42.35000000000001
452,-53.5,-44.68999999999999
453,-53.5,-43.67
454,-53.5,-43.11
455,-53.5,-42.980000000000004
456,-53.5,-42.57
457,-53.5,-43.709999999999994
458,-53.5,-43.27
459,-53.6,-44.17
460,-53.7,-40.6
461,-53.7,-44.940000000000005
462,-53.7,-43.06
463,-53.7,-42.230000000000004
464,-53.75,-44.49
465,-53.75,-44.62
466,-53.75,-42.03
467,-53.95,-43.96
468,-53.95,-43.230000000000004
469,-53.95,-45.589999999999996
470,-53.95,-42.660000000000004
471,-53.95,-45.04
472,-53.95,-44.349999999999994
473,-53.95,-42.44
474,-53.95,-43.64
475,-53.95,-43.91000000000001
476,-54.0,-44.52
477,-54.0,-43.91
478,-54.0,-42.71
479,-54.0,-43.91000000000001
480,-54.0,-44.769999999999996
481,-54.05,-43.38999999999999
482,-54.05,-42.42
483,-54.05,-44.25
484,-54.05,-42.83
485,-54.05,-42.27999999999999
486,-54.05,-45.709999999999994
487,-54.3,-43.529999999999994
488,-54.35,-44.0
489,-54.35,-44.97
490,-54.6,-43.93
491,-54.6,-45.55
492,-54.6,-45.31999999999999
493,-54.6,-44.34
494,-54.6,-43.330000000000005
495,-54.6,-44.63
496,-54.6,-43.42
497,-54.6,-43.660000000000004
498,-54.7,-45.32
499,-54.7,-43.97000000000001
500,-54.7,-44.43
501,-54.75,-45.17999999999999
502,-54.8,-45.099999999999994
503,-54.8,-45.709999999999994
504,-54.8,-44.06
505,-54.8,-43.960000000000015
506,-54.9,-44.330000000000005
507,-54.95,-42.800000000000004
508,-55.3,-44.739999999999995
509,-55.35,-44.49999999999999
510,-55.35,-44.779999999999994
511,-55.5,-45.480000000000004
512,-55.75,-44.290000000000006
513,-55.75,-44.620000000000005
514,-55.75,-44.76
515,-55.85,-45.25
516,-55.85,-44.31999999999999
517,-55.9,-46.76
518,-55.9,-44.83999999999999
519,-55.9,-44.94
520,-55.9,-44.1
521,-56.05,-45.43000000000001
522,-56.05,-46.059999999999995
523,-56.05,-45.13999999999999
524,-56.05,-45.62
525,-56.05,-45.25
526,-56.15,-45.64
527,-56.15,-45.88000000000001
528,-56.15,-45.38000000000001
529,-56.15,-46.19
530,-56.45,-45.75
531,-56.5,-45.99999999999999
532,-56.5,-44.870000000000005
533,-56.5,-44.71000000000001
534,-56.9,-46.779999999999994
535,-57.05,-46.389999999999986
536,-57.05,-45.45
537,-57.05,-46.8
538,-57.1,-46.160000000000004
539,-57.15,-44.760000000000005
540,-57.2,-44.96999999999999
541,-57.2,-46.71
542,-57.2,-45.88000000000001
543,-57.2,-47.14999999999999
544,-57.35,-45.81000000000002
545,-57.35,-46.589999999999996
546,-57.35,-43.459999999999994
547,-57.35,-46.669999999999995
548,-57.35,-48.12
549,-57.55,-46.760000000000005
550,-57.55,-46.56999999999999
551,-57.6,-47.36
552,-57.6,-46.11000000000001
553,-57.6,-47.24999999999999
554,-57.7,-45.2
555,-57.7,-45.26
556,-57.85,-47.45
557,-57.9,-45.32
558,-57.9,-45.5
559,-57.9,-45.61
560,-57.95,-47.339999999999996
561,-57.95,-46.42
562,-57.95,-46.019999999999996
563,-57.95,-46.38999999999999
564,-57.95,-47.51
565,-57.95,-46.61000000000001
566,-57.95,-48.20000000000001
567,-57.95,-47.379999999999995
568,-57.95,-47.519999999999996
569,-57.95,-45.760000000000005
570,-57.95,-48.12999999999999
571,-57.95,-43.92
572,-57.95,-48.17
573,-58.2,-44.84
574,-58.2,-45.709999999999994
575,-58.25,-46.59999999999999
576,-58.25,-45.66
577,-58.25,-46.08999999999999
578,-58.25,-45.419999999999995
579,-58.25,-47.440000000000005
580,-58.25,-48.10000000000001
581,-58.25,-46.919999999999995
582,-58.25,-46.61
583,-58.25,-46.709999999999994
