,best_fitness,mean_fitness
0,-2.9,-1.06
1,-4.05,-2.66
2,-4.9,-3.6700000000000004
3,-5.1,-3.9299999999999997
4,-5.5,-3.8899999999999992
5,-5.95,-4.36
6,-6.15,-4.5200000000000005
7,-6.45,-4.9
8,-6.9,-4.65
9,-7.1,-4.91
10,-7.3,-5.1
11,-7.3,-5.4399999999999995
12,-7.5,-5.6400000000000015
13,-7.85,-5.76
14,-8.4,-6.45
15,-8.6,-6.640000000000002
16,-9.25,-6.619999999999999
17,-9.4,-7.13
18,-9.4,-6.890000000000001
19,-9.6,-7.139999999999999
20,-9.75,-6.859999999999999
21,-10.05,-7.890000000000001
22,-10.15,-7.659999999999998
23,-10.35,-7.51
24,-10.45,-7.770000000000001
25,-10.7,-8.4
26,-11.05,-8.73
27,-11.05,-8.379999999999999
28,-11.2,-8.43
29,-11.2,-8.600000000000001
30,-11.25,-8.59
31,-11.65,-8.889999999999999
32,-11.95,-8.810000000000002
33,-12.65,-9.959999999999997
34,-13.05,-9.559999999999999
35,-13.1,-9.489999999999998
36,-13.3,-9.459999999999999
37,-13.35,-9.620000000000001
38,-13.5,-10.11
39,-13.55,-10.130000000000003
40,-13.85,-9.95
41,-13.85,-10.610000000000001
42,-13.85,-10.129999999999999
43,-13.85,-10.74
44,-14.2,-10.55
45,-14.35,-10.439999999999998
46,-14.7,-10.8
47,-15.0,-10.709999999999997
48,-15.15,-12.03
49,-15.2,-11.120000000000001
50,-15.25,-11.690000000000001
51,-15.3,-12.240000000000004
52,-15.45,-11.66
53,-15.75,-12.33
54,-16.35,-13.080000000000002
55,-17.0,-12.59
56,-17.4,-12.650000000000002
57,-17.45,-13.160000000000002
58,-17.5,-12.149999999999999
59,-17.55,-12.249999999999998
60,-17.7,-13.030000000000001
61,-18.0,-13.040000000000001
62,-18.0,-13.4
63,-18.15,-13.469999999999999
64,-18.2,-14.11
65,-18.7,-13.089999999999998
66,-19.0,-13.36
67,-19.25,-13.470000000000002
68,-19.35,-14.779999999999998
69,-19.45,-13.709999999999999
70,-19.7,-14.120000000000001
71,-20.0,-13.379999999999999
72,-20.05,-14.5
73,-20.4,-16.190000000000005
74,-20.5,-16.430000000000003
75,-20.6,-15.040000000000001
76,-20.8,-15.660000000000002
77,-20.8,-14.659999999999997
78,-21.25,-16.15
79,-21.3,-14.400000000000002
80,-21.35,-15.660000000000002
81,-21.65,-14.76
82,-21.95,-14.760000000000002
83,-22.0,-15.559999999999997
84,-22.5,-16.52
85,-22.9,-15.129999999999999
86,-22.9,-16.23
87,-22.95,-15.680000000000001
88,-23.15,-16.779999999999994
89,-23.25,-17.23
90,-23.35,-16.259999999999998
91,-23.4,-16.85
92,-23.4,-16.979999999999997
93,-23.45,-17.519999999999992
94,-24.0,-16.35
95,-24.05,-17.019999999999996
96,-24.2,-16.389999999999997
97,-24.5,-18.060000000000002
98,-24.65,-16.87
99,-24.7,-15.95
100,-24.75,-16.62
101,-25.2,-16.12
102,-25.35,-17.330000000000002
103,-25.35,-18.57
104,-25.65,-19.140000000000004
105,-25.7,-17.25
106,-25.75,-17.869999999999997
107,-25.75,-18.750000000000004
108,-25.75,-19.01
109,-25.85,-18.229999999999997
110,-25.9,-17.849999999999998
111,-25.95,-16.689999999999998
112,-26.0,-18.57
113,-26.0,-18.79
114,-26.0,-18.729999999999997
115,-26.25,-19.14
116,-26.55,-17.62
117,-26.55,-17.94
118,-26.8,-19.25
119,-26.8,-18.110000000000003
120,-26.85,-18.300000000000004
121,-26.95,-19.929999999999996
122,-27.2,-19.82
123,-27.2,-17.410000000000004
124,-27.2,-18.259999999999998
125,-27.2,-19.619999999999997
126,-27.2,-19.689999999999998
127,-27.2,-19.45
128,-27.45,-19.62
129,-27.8,-20.46
130,-27.8,-18.46
131,-27.8,-19.79
132,-27.8,-19.46
133,-27.8,-19.279999999999998
134,-27.8,-20.0
135,-27.8,-19.950000000000003
136,-27.8,-19.89
137,-27.8,-20.279999999999994
138,-27.8,-21.16
139,-28.0,-18.6
140,-28.0,-19.43
141,-28.0,-20.360000000000003
142,-28.05,-21.3
143,-28.05,-19.08
144,-28.3,-19.47
145,-28.3,-19.64
146,-28.3,-19.58
147,-28.3,-20.07
148,-28.35,-21.95
149,-28.35,-20.609999999999996
150,-28.35,-20.59
151,-28.35,-19.69
152,-28.35,-20.509999999999998
153,-28.35,-19.060000000000002
154,-28.35,-19.620000000000008
155,-28.35,-20.380000000000003
156,-28.35,-20.280000000000005
157,-28.4,-18.619999999999997
158,-28.4,-20.32
159,-28.4,-19.91
160,-28.4,-20.630000000000003
161,-28.4,-20.400000000000002
162,-28.45,-20.830000000000005
163,-28.6,-20.06
164,-28.9,-20.529999999999998
165,-29.05,-19.81
166,-29.1,-19.91
167,-29.1,-19.85
168,-29.2,-20.759999999999998
169,-29.2,-20.809999999999995
170,-29.2,-20.169999999999995
171,-29.3,-19.32
172,-29.55,-20.68
173,-29.7,-20.72
174,-29.7,-21.479999999999997
175,-29.9,-21.63
176,-29.9,-21.52
177,-29.9,-21.939999999999998
178,-29.9,-22.130000000000003
179,-29.95,-21.04
180,-30.25,-21.41
181,-30.25,-20.830000000000002
182,-30.25,-22.200000000000006
183,-30.25,-20.88
184,-30.65,-21.300000000000004
185,-30.9,-22.330000000000002
186,-30.9,-21.15
187,-31.0,-21.800000000000004
188,-31.2,-20.529999999999998
189,-31.2,-20.87
190,-31.25,-22.1
191,-31.25,-21.800000000000004
192,-31.25,-22.349999999999994
193,-31.25,-22.61
194,-31.25,-21.68
195,-31.35,-21.09
196,-31.4,-22.020000000000003
197,-31.4,-21.47
198,-31.4,-21.51
199,-31.85,-22.93
200,-31.9,-22.71
201,-31.9,-21.979999999999997
202,-32.25,-22.13
203,-32.5,-23.139999999999997
204,-32.7,-23.440000000000005
205,-32.75,-20.080000000000005
206,-33.05,-21.75
207,-33.05,-25.15
208,-33.05,-23.29
209,-33.95,-21.609999999999996
210,-33.95,-24.470000000000002
211,-33.95,-24.11
212,-33.95,-21.910000000000004
213,-34.55,-24.900000000000006
214,-34.6,-26.080000000000002
215,-34.75,-23.75
216,-35.25,-24.740000000000002
217,-35.5,-26.869999999999997
218,-35.5,-24.490000000000002
219,-35.5,-24.51
220,-35.5,-24.04
221,-35.5,-23.419999999999998
222,-35.55,-25.810000000000002
223,-35.55,-25.959999999999997
224,-35.65,-26.46
225,-35.65,-24.389999999999997
226,-35.65,-25.56
227,-35.8,-26.3
228,-35.8,-25.230000000000004
229,-35.8,-26.629999999999995
230,-35.8,-25.56
231,-35.95,-27.620000000000005
232,-35.95,-24.89
233,-36.0,-24.95
234,-36.4,-26.610000000000003
235,-36.55,-24.999999999999996
236,-36.55,-27.26
237,-36.9,-25.65
238,-37.0,-25.59
239,-37.0,-26.96
240,-37.05,-25.23
241,-37.7,-27.909999999999997
242,-37.7,-26.9
243,-37.7,-28.27
244,-37.7,-27.209999999999997
245,-37.7,-25.77
246,-37.7,-28.839999999999996
247,-37.8,-28.740000000000002
248,-37.8,-27.599999999999994
249,-37.8,-26.529999999999994
250,-37.95,-26.830000000000002
251,-38.2,-27.53
252,-38.2,-27.209999999999997
253,-38.25,-27.169999999999998
254,-38.25,-26.57
255,-38.3,-27.53
256,-38.4,-26.180000000000007
257,-38.4,-25.51
258,-38.4,-28.25
259,-38.4,-29.140000000000004
260,-38.4,-28.360000000000003
261,-38.4,-25.560000000000002
262,-38.4,-28.209999999999997
263,-38.4,-28.470000000000006
264,-38.4,-28.130000000000003
265,-38.4,-28.65
266,-38.4,-26.71
267,-38.65,-27.309999999999995
268,-38.65,-26.559999999999995
269,-38.65,-26.53000000000001
270,-38.65,-25.830000000000002
271,-38.65,-28.7
272,-38.65,-26.490000000000002
273,-38.65,-26.57
274,-38.75,-28.159999999999997
275,-38.9,-29.1
276,-39.1,-27.21
277,-39.3,-28.439999999999998
278,-39.3,-26.609999999999992
279,-39.4,-28.0
280,-39.65,-27.97
281,-39.65,-27.85
282,-39.65,-30.03000000000001
283,-39.65,-30.169999999999998
284,-40.1,-30.74
285,-40.15,-29.9
286,-40.2,-28.120000000000005
287,-40.2,-28.01
288,-40.2,-27.770000000000003
