,best_fitness,mean_fitness
0,-1.8,-0.62
1,-1.95,-1.7299999999999998
2,-2.05,-1.81
3,-2.25,-1.9499999999999997
4,-2.55,-2.17
5,-2.6,-2.33
6,-2.75,-2.4499999999999997
7,-2.8,-2.46
8,-2.8,-2.49
9,-2.8,-2.4699999999999998
10,-2.9,-2.61
11,-2.95,-2.6599999999999993
12,-3.0,-2.57
13,-3.0,-2.64
14,-3.05,-2.57
15,-3.1,-2.8
16,-3.1,-2.71
17,-3.1,-2.9200000000000004
18,-3.15,-2.9300000000000006
19,-3.3,-2.8999999999999995
20,-3.3,-2.82
21,-3.65,-2.9599999999999995
22,-3.65,-3.3300000000000005
23,-3.75,-3.1999999999999997
24,-3.85,-3.35
25,-3.85,-3.410000000000001
26,-3.9,-3.37
27,-4.15,-3.5100000000000002
28,-4.25,-3.7599999999999993
29,-4.35,-3.9
30,-4.5,-4.02
31,-4.5,-3.84
32,-4.6,-3.8299999999999996
33,-4.8,-3.94
34,-4.85,-3.6999999999999993
35,-5.1,-4.34
36,-5.1,-3.8899999999999997
37,-5.1,-4.330000000000001
38,-5.4,-4.26
39,-5.4,-3.9899999999999998
40,-5.45,-4.29
41,-5.5,-4.58
42,-5.55,-4.7299999999999995
43,-5.6,-4.5600000000000005
44,-5.7,-4.220000000000001
45,-5.7,-4.9399999999999995
46,-5.7,-4.750000000000001
47,-5.7,-4.68
48,-5.75,-4.5
49,-5.75,-4.77
50,-5.8,-4.680000000000001
51,-5.8,-4.37
52,-5.8,-4.23
53,-5.95,-4.7
54,-5.95,-4.72
55,-5.95,-4.9399999999999995
56,-6.0,-4.8
57,-6.0,-4.909999999999999
58,-6.05,-4.869999999999999
59,-6.2,-4.750000000000001
60,-6.2,-4.99
61,-6.2,-4.860000000000001
62,-6.2,-5.0699999999999985
63,-6.2,-4.859999999999999
64,-6.2,-4.930000000000001
65,-6.2,-4.79
66,-6.2,-4.79
67,-6.35,-5.0600000000000005
68,-6.35,-4.809999999999999
69,-6.35,-4.900000000000001
70,-6.35,-5.22
71,-6.4,-4.7299999999999995
72,-6.45,-5.080000000000001
73,-6.45,-5.160000000000002
74,-6.5,-4.959999999999999
75,-6.55,-5.609999999999999
76,-6.6,-5.340000000000001
77,-6.7,-5.230000000000001
78,-6.7,-5.4
79,-6.8,-5.239999999999999
80,-6.8,-5.41
81,-6.8,-5.119999999999999
82,-6.8,-5.299999999999999
83,-6.8,-5.3
84,-6.8,-5.319999999999999
85,-6.8,-5.3500000000000005
86,-6.9,-5.38
87,-6.9,-5.71
88,-7.05,-5.6800000000000015
89,-7.1,-5.189999999999999
90,-7.15,-5.360000000000001
91,-7.25,-5.53
92,-7.25,-5.4
93,-7.4,-5.540000000000001
94,-7.5,-5.97
95,-7.55,-5.7299999999999995
96,-7.55,-5.97
97,-7.55,-5.940000000000001
98,-7.55,-5.58
99,-7.6,-6.1
100,-7.6,-5.749999999999999
101,-7.6,-6.02
102,-7.6,-5.37
103,-7.6,-5.7299999999999995
104,-7.65,-5.73
105,-7.65,-5.91
106,-7.75,-6.220000000000001
107,-7.75,-6.130000000000001
108,-7.9,-6.140000000000001
109,-7.9,-6.419999999999999
110,-7.95,-6.540000000000001
111,-7.95,-6.13
112,-7.95,-6.089999999999999
113,-8.25,-6.319999999999999
114,-8.25,-6.060000000000001
115,-8.25,-6.65
116,-8.25,-6.370000000000001
117,-8.25,-6.2
