,best_fitness,mean_fitness
0,-1.35,-0.5200000000000001
1,-2.35,-1.1200000000000003
2,-2.7,-1.4299999999999997
3,-2.75,-1.4200000000000002
4,-2.8,-1.44
5,-3.05,-1.3900000000000001
6,-3.1,-1.7
7,-3.2,-1.7200000000000002
8,-3.75,-1.69
9,-4.05,-1.7899999999999998
10,-4.25,-1.9400000000000002
11,-4.3,-1.8400000000000003
12,-4.6,-1.89
13,-4.65,-1.9300000000000002
14,-4.65,-2.02
15,-4.7,-1.9900000000000002
16,-4.7,-2.0999999999999996
17,-4.7,-1.9700000000000002
18,-5.15,-2.3000000000000003
19,-5.35,-2.07
20,-5.35,-2.03
21,-5.4,-2.4699999999999998
22,-5.4,-2.11
23,-5.4,-1.9499999999999997
24,-5.4,-2.2
25,-5.45,-2.12
26,-5.45,-2.23
27,-5.45,-2.2299999999999995
28,-5.75,-2.4200000000000004
29,-5.9,-2.15
30,-6.05,-2.43
31,-6.05,-2.5000000000000004
32,-6.05,-2.4899999999999998
33,-6.1,-2.3400000000000007
34,-6.2,-2.35
35,-6.2,-2.4300000000000006
36,-6.25,-2.56
37,-6.3,-2.6399999999999997
38,-6.3,-2.45
39,-6.3,-2.48
40,-6.3,-2.54
41,-6.3,-2.4699999999999998
42,-6.3,-2.55
43,-6.3,-2.3299999999999996
44,-6.3,-2.4800000000000004
45,-6.35,-2.4800000000000004
46,-6.4,-2.2700000000000005
47,-6.4,-2.45
48,-6.55,-2.6799999999999997
49,-6.55,-2.52
50,-6.75,-2.84
51,-6.75,-2.6699999999999995
52,-6.8,-2.7499999999999996
53,-6.8,-2.87
54,-6.8,-2.5300000000000002
55,-6.8,-2.56
56,-6.8,-2.52
57,-7.0,-3.0900000000000007
58,-7.05,-2.47
59,-7.1,-2.750000000000001
60,-7.1,-2.8000000000000003
61,-7.1,-2.4100000000000006
62,-7.1,-2.7100000000000004
63,-7.1,-2.8099999999999996
64,-7.1,-2.77
65,-7.2,-2.95
66,-7.25,-2.8099999999999996
67,-7.25,-2.7699999999999996
68,-7.25,-2.5800000000000005
69,-7.3,-2.9000000000000004
70,-7.3,-2.6799999999999997
71,-7.3,-2.9
72,-7.3,-2.72
73,-7.3,-2.7300000000000004
74,-7.3,-2.6699999999999995
75,-7.3,-2.72
76,-7.3,-2.68
77,-7.4,-2.7800000000000002
78,-7.4,-2.79
79,-7.4,-3.0100000000000007
80,-7.4,-2.6799999999999997
81,-7.4,-2.9
82,-7.4,-2.63
83,-7.4,-2.8699999999999997
84,-7.4,-2.6799999999999997
85,-7.6,-2.9499999999999997
86,-7.6,-2.96
87,-7.6,-2.7200000000000006
88,-7.6,-2.8100000000000005
89,-7.8,-2.77
90,-7.85,-2.9499999999999997
91,-7.85,-3.0200000000000005
92,-7.9,-3.219999999999999
93,-7.95,-2.75
94,-7.95,-3.0
95,-7.95,-2.9699999999999998
96,-7.95,-3.229999999999999
97,-7.95,-2.9400000000000004
98,-7.95,-2.83
99,-7.95,-2.89
100,-7.95,-3.0000000000000004
101,-8.0,-3.1000000000000005
102,-8.0,-3.3000000000000007
103,-8.0,-3.02
104,-8.0,-3.1200000000000006
105,-8.0,-3.210000000000001
106,-8.0,-2.79
107,-8.0,-2.9399999999999995
108,-8.0,-3.0999999999999996
109,-8.0,-3.1
110,-8.0,-3.2
111,-8.0,-3.1000000000000005
112,-8.0,-3.2399999999999998
113,-8.0,-3.0199999999999996
114,-8.0,-2.8299999999999996
115,-8.0,-3.0399999999999996
116,-8.0,-2.8999999999999995
117,-8.05,-3.2400000000000007
118,-8.05,-3.0100000000000002
119,-8.05,-2.95
120,-8.05,-2.67
121,-8.2,-3.04
122,-8.2,-2.8400000000000007
123,-8.2,-3.03
124,-8.2,-3.01
125,-8.2,-3.0000000000000004
126,-8.2,-2.89
127,-8.2,-3.3199999999999994
128,-8.35,-3.18
129,-8.35,-2.8500000000000005
130,-8.4,-3.14
131,-8.4,-3.0699999999999994
132,-8.4,-3.06
133,-8.4,-3.04
134,-8.4,-2.9999999999999996
135,-8.4,-2.9099999999999997
136,-8.4,-2.8799999999999994
137,-8.4,-3.130000000000001
138,-8.4,-2.96
139,-8.4,-3.1
140,-8.4,-2.8699999999999997
141,-8.4,-2.98
142,-8.4,-2.98
143,-8.65,-3.1100000000000003
144,-8.65,-3.0700000000000007
145,-8.65,-3.2699999999999996
146,-8.65,-2.8
147,-8.75,-3.21
148,-8.8,-3.2300000000000004
149,-8.8,-3.0
150,-8.8,-3.1499999999999995
151,-8.8,-3.3800000000000003
152,-8.8,-3.0300000000000002
153,-8.8,-3.079999999999999
154,-8.8,-2.8499999999999996
155,-8.8,-3.01
156,-8.8,-2.95
157,-8.8,-2.8600000000000003
158,-8.8,-3.1299999999999994
159,-8.8,-3.1999999999999997
160,-8.8,-2.97
161,-8.8,-3.0200000000000005
162,-8.8,-2.82
163,-8.8,-3.1399999999999997
164,-8.8,-2.65
165,-8.8,-3.1100000000000003
166,-8.8,-3.18
167,-8.9,-3.09
168,-8.9,-2.94
169,-8.9,-3.2
170,-8.9,-3.1100000000000003
171,-8.9,-3.03
172,-8.9,-3.1000000000000005
173,-8.9,-3.03
174,-8.9,-3.05
175,-8.9,-3.04
176,-8.9,-3.1399999999999997
177,-8.9,-3.1300000000000003
178,-8.9,-2.9600000000000004
179,-8.9,-2.8899999999999997
180,-8.9,-3.2800000000000002
181,-8.9,-3.25
182,-8.9,-3.0799999999999996
183,-8.9,-2.9400000000000004
184,-8.9,-3.0500000000000003
185,-8.9,-3.04
186,-9.1,-3.1900000000000004
187,-9.1,-3.2800000000000002
188,-9.15,-3.1
189,-9.15,-2.8600000000000003
190,-9.15,-3.2900000000000005
191,-9.15,-3.02
192,-9.15,-3.2
193,-9.15,-3.1199999999999997
194,-9.15,-3.1699999999999995
195,-9.25,-3.17
196,-9.25,-2.9999999999999996
197,-9.25,-3.38
198,-9.25,-3.12
199,-9.25,-2.9899999999999998
200,-9.25,-3.1999999999999997
201,-9.25,-3.16
202,-9.25,-3.4099999999999993
203,-9.25,-2.9899999999999998
204,-9.25,-3.5
205,-9.25,-3.2299999999999995
206,-9.25,-2.96
207,-9.3,-3.1300000000000003
208,-9.3,-3.4200000000000004
209,-9.3,-3.2299999999999995
210,-9.5,-3.0299999999999994
211,-9.5,-3.05
212,-9.5,-3.22
213,-9.5,-3.1900000000000004
214,-9.5,-3.4899999999999998
215,-9.5,-3.1899999999999995
216,-9.5,-3.45
217,-9.5,-3.3899999999999997
218,-9.5,-3.3300000000000005
219,-9.5,-3.249999999999999
220,-9.5,-3.13
221,-9.5,-3.1499999999999995
222,-9.5,-3.3699999999999997
223,-9.5,-3.04
224,-9.5,-3.12
225,-9.5,-3.3600000000000008
226,-9.5,-3.2399999999999998
227,-9.5,-3.3200000000000003
228,-9.5,-3.3599999999999994
229,-9.65,-3.34
230,-9.65,-3.4899999999999998
231,-9.65,-3.2399999999999998
232,-9.65,-3.2699999999999996
233,-9.65,-3.0100000000000002
234,-9.65,-3.1299999999999994
235,-9.65,-3.46
236,-9.65,-3.45
237,-9.65,-3.38
238,-9.65,-3.4
239,-9.65,-3.6400000000000006
240,-9.65,-3.34
241,-9.65,-3.3200000000000003
242,-9.65,-3.3
243,-9.7,-3.22
244,-9.7,-3.1600000000000006
245,-9.7,-3.17
246,-9.7,-3.6699999999999995
247,-9.75,-3.55
248,-9.75,-3.53
249,-9.8,-3.38
250,-9.8,-3.22
251,-9.8,-3.12
252,-9.8,-3.0600000000000005
253,-9.8,-3.15
254,-9.8,-3.2999999999999994
255,-9.8,-3.1199999999999997
256,-9.8,-3.29
257,-9.8,-3.15
258,-9.8,-3.1499999999999995
259,-9.85,-3.3800000000000012
260,-9.85,-3.3299999999999996
261,-9.85,-3.47
262,-9.85,-3.099999999999999
263,-9.85,-3.7699999999999996
264,-9.85,-2.9
265,-9.85,-3.25
266,-9.85,-3.5199999999999996
267,-9.85,-3.5
268,-9.85,-3.2300000000000004
269,-9.9,-3.3800000000000003
270,-9.9,-3.5
271,-9.9,-3.56
272,-9.9,-3.1100000000000003
273,-9.9,-3.5
274,-9.9,-3.4200000000000004
275,-9.9,-3.44
276,-9.9,-3.12
277,-9.9,-3.2699999999999996
278,-9.95,-3.35
279,-9.95,-3.4300000000000006
280,-9.95,-3.45
281,-9.95,-3.41
282,-9.95,-3.4800000000000004
283,-9.95,-3.44
284,-9.95,-3.41
285,-9.95,-3.53
286,-10.0,-3.4800000000000004
287,-10.0,-3.4800000000000004
288,-10.0,-3.6699999999999995
289,-10.0,-3.7600000000000002
290,-10.0,-3.3200000000000003
291,-10.0,-3.1000000000000005
292,-10.0,-3.4500000000000006
293,-10.0,-3.4299999999999997
294,-10.0,-3.460000000000001
295,-10.0,-3.4799999999999995
296,-10.0,-3.4599999999999995
297,-10.0,-3.3199999999999994
298,-10.1,-3.25
299,-10.1,-3.44
300,-10.1,-3.45
301,-10.1,-3.44
302,-10.1,-3.5
303,-10.1,-3.56
304,-10.1,-3.900000000000001
305,-10.1,-3.3900000000000006
306,-10.1,-3.45
307,-10.1,-3.53
308,-10.1,-3.1600000000000006
309,-10.1,-2.9699999999999998
310,-10.1,-3.47
311,-10.1,-3.3599999999999994
312,-10.1,-3.3599999999999994
313,-10.1,-3.5700000000000003
314,-10.1,-3.5699999999999994
315,-10.1,-3.4800000000000004
316,-10.1,-2.97
317,-10.1,-3.16
318,-10.1,-3.13
319,-10.1,-3.4899999999999998
320,-10.1,-3.46
321,-10.1,-3.54
322,-10.1,-3.28
323,-10.1,-3.589999999999999
324,-10.1,-3.0700000000000003
325,-10.1,-3.4300000000000006
326,-10.1,-3.3200000000000003
327,-10.15,-3.62
328,-10.25,-3.3800000000000003
329,-10.25,-3.45
330,-10.25,-3.21
331,-10.35,-3.6300000000000012
332,-10.35,-3.2699999999999996
333,-10.35,-3.54
334,-10.35,-3.45
335,-10.35,-3.46
336,-10.35,-3.46
337,-10.35,-3.6399999999999997
338,-10.35,-3.44
339,-10.35,-3.5400000000000005
340,-10.35,-3.749999999999999
341,-10.35,-3.54
342,-10.35,-3.3600000000000003
343,-10.35,-3.47
344,-10.9,-3.7399999999999993
345,-10.9,-3.56
346,-10.9,-3.7700000000000005
347,-10.9,-3.520000000000001
348,-10.95,-3.7800000000000002
349,-10.95,-3.9599999999999995
350,-10.95,-3.6599999999999993
351,-10.95,-3.54
352,-10.95,-3.7399999999999998
353,-10.95,-3.7400000000000007
354,-10.95,-3.9699999999999998
355,-10.95,-3.6
356,-10.95,-3.6700000000000004
357,-10.95,-3.54
358,-10.95,-3.63
359,-10.95,-3.45
360,-10.95,-3.6100000000000003
361,-11.0,-3.9200000000000004
362,-11.0,-3.5300000000000002
363,-11.0,-3.6400000000000006
364,-11.0,-3.5900000000000007
365,-11.0,-3.4200000000000004
366,-11.0,-3.5900000000000007
367,-11.0,-3.66
368,-11.0,-3.5199999999999996
369,-11.0,-3.78
370,-11.0,-4.02
371,-11.0,-3.6999999999999993
372,-11.0,-3.6100000000000003
373,-11.05,-3.7900000000000005
374,-11.05,-3.8500000000000005
375,-11.05,-3.8200000000000003
376,-11.05,-3.4599999999999995
377,-11.1,-3.6199999999999997
378,-11.1,-3.7800000000000002
379,-11.2,-3.9299999999999997
380,-11.2,-3.72
381,-11.2,-3.5699999999999994
382,-11.2,-3.6400000000000006
383,-11.2,-3.75
384,-11.2,-3.6799999999999997
385,-11.2,-3.91
386,-11.2,-3.8400000000000007
387,-11.2,-3.6700000000000004
388,-11.2,-3.8200000000000003
389,-11.2,-3.71
390,-11.2,-3.71
391,-11.2,-3.81
392,-11.2,-3.9300000000000006
393,-11.2,-3.79
394,-11.2,-3.7299999999999995
395,-11.2,-4.059999999999999
396,-11.2,-3.81
397,-11.2,-3.660000000000001
398,-11.2,-3.9899999999999993
399,-11.2,-3.81
400,-11.2,-3.8899999999999997
401,-11.45,-4.08
402,-11.45,-3.62
403,-11.45,-4.040000000000001
404,-11.5,-3.95
405,-11.5,-3.8900000000000006
406,-11.5,-4.05
407,-11.5,-3.78
408,-11.5,-3.8699999999999997
409,-11.5,-3.660000000000001
410,-11.5,-3.720000000000001
411,-11.5,-3.7700000000000005
412,-11.5,-4.02
413,-11.5,-3.7900000000000005
414,-11.5,-3.7900000000000005
415,-11.5,-3.6300000000000003
416,-11.5,-3.66
417,-11.5,-3.45
418,-11.5,-3.8600000000000003
419,-11.65,-3.6599999999999993
420,-11.65,-3.71
421,-11.65,-3.6099999999999994
422,-11.65,-3.54
423,-11.65,-4.139999999999999
424,-11.65,-3.9499999999999993
425,-11.65,-3.8599999999999994
426,-11.65,-3.95
427,-11.65,-3.9
428,-11.65,-4.49
429,-11.75,-4.090000000000001
430,-11.75,-3.7600000000000007
431,-11.75,-3.5800000000000005
432,-11.75,-4.219999999999999
433,-11.75,-3.7800000000000002
434,-11.75,-3.8099999999999996
435,-11.95,-4.200000000000001
436,-11.95,-3.79
437,-12.0,-4.3100000000000005
438,-12.0,-3.84
439,-12.0,-3.8
440,-12.0,-3.97
441,-12.0,-3.71
442,-12.0,-4.319999999999999
443,-12.0,-4.2
444,-12.05,-4.53
445,-12.05,-3.8800000000000003
446,-12.05,-4.16
447,-12.05,-3.9099999999999993
448,-12.05,-3.5100000000000002
449,-12.05,-3.789999999999999
450,-12.05,-3.9800000000000004
451,-12.05,-3.4899999999999998
452,-12.05,-3.6599999999999993
453,-12.05,-4.02
454,-12.05,-3.69
455,-12.05,-4.01
456,-12.05,-4.0200000000000005
457,-12.05,-3.8999999999999995
458,-12.05,-3.6800000000000006
459,-12.05,-3.81
460,-12.05,-4.2700000000000005
461,-12.05,-3.9400000000000004
462,-12.05,-3.9500000000000006
463,-12.05,-4.119999999999999
464,-12.05,-4.08
465,-12.05,-4.1000000000000005
466,-12.05,-3.820000000000001
467,-12.05,-3.79
468,-12.05,-4.259999999999999
469,-12.05,-3.9499999999999993
470,-12.05,-4.13
471,-12.05,-3.78
472,-12.05,-4.0200000000000005
473,-12.05,-3.7
474,-12.05,-4.000000000000001
475,-12.05,-4.069999999999999
476,-12.05,-4.14
477,-12.05,-3.96
478,-12.1,-4.000000000000001
479,-12.1,-4.06
480,-12.1,-4.109999999999999
