,best_fitness,mean_fitness
0,-3.6,-1.2900000000000003
1,-4.55,-2.0100000000000007
2,-5.35,-2.34
3,-6.6,-2.9299999999999993
4,-7.3,-3.18
5,-7.65,-3.3600000000000003
6,-8.05,-3.2099999999999995
7,-8.55,-3.5300000000000002
8,-9.3,-3.9699999999999998
9,-9.3,-3.650000000000001
10,-10.1,-4.16
11,-10.3,-4.34
12,-10.95,-4.3999999999999995
13,-11.2,-5.010000000000001
14,-12.65,-5.32
15,-13.05,-5.3100000000000005
16,-13.15,-5.21
17,-13.45,-5.12
18,-13.75,-5.49
19,-13.8,-5.119999999999999
20,-13.95,-5.23
21,-14.65,-5.729999999999999
22,-15.3,-6.44
23,-15.35,-5.87
24,-16.15,-6.9
25,-16.3,-6.26
26,-16.7,-6.7299999999999995
27,-17.05,-6.600000000000001
28,-17.4,-6.959999999999999
29,-17.45,-6.37
30,-17.7,-7.06
31,-17.95,-6.94
32,-18.3,-6.790000000000001
33,-18.35,-7.2299999999999995
34,-18.35,-7.720000000000001
35,-18.4,-6.9799999999999995
36,-18.7,-7.209999999999999
37,-18.7,-7.260000000000001
38,-18.95,-6.730000000000001
39,-19.15,-7.589999999999999
40,-19.15,-7.359999999999999
41,-19.2,-7.35
42,-19.2,-7.580000000000001
43,-19.65,-8.120000000000001
44,-20.0,-7.42
45,-20.0,-7.38
46,-20.0,-6.959999999999999
47,-20.0,-7.619999999999999
48,-20.1,-7.589999999999999
49,-20.3,-7.7700000000000005
50,-20.95,-7.840000000000001
51,-20.95,-7.759999999999998
52,-21.0,-8.27
53,-21.5,-7.999999999999998
54,-22.15,-8.25
55,-23.75,-8.67
56,-24.9,-9.059999999999999
57,-25.7,-9.120000000000001
58,-26.4,-9.469999999999999
59,-27.15,-9.389999999999997
60,-27.5,-9.659999999999998
61,-27.6,-9.44
62,-27.6,-8.780000000000001
63,-27.6,-9.489999999999998
64,-27.65,-9.989999999999997
65,-28.3,-9.77
66,-28.45,-9.620000000000001
67,-28.45,-9.17
68,-29.0,-10.12
69,-29.0,-10.069999999999999
70,-29.95,-9.59
71,-29.95,-9.979999999999999
72,-29.95,-10.07
73,-30.3,-9.929999999999998
74,-30.3,-10.110000000000001
75,-30.3,-10.34
76,-30.35,-9.870000000000001
77,-30.35,-10.940000000000001
78,-30.35,-10.290000000000001
79,-30.35,-10.7
80,-30.35,-9.98
81,-30.45,-10.970000000000002
82,-30.45,-10.09
83,-30.65,-9.73
84,-31.1,-10.339999999999998
85,-31.1,-9.749999999999998
86,-31.1,-10.170000000000002
87,-31.35,-10.439999999999998
88,-31.35,-9.79
89,-31.35,-9.770000000000001
90,-31.35,-10.240000000000002
91,-31.6,-10.840000000000002
92,-31.6,-10.100000000000001
93,-31.6,-9.970000000000002
94,-31.6,-11.06
95,-31.7,-11.620000000000001
96,-31.7,-10.069999999999999
97,-31.8,-11.469999999999997
98,-31.8,-10.23
99,-31.8,-11.069999999999999
100,-31.8,-11.5
101,-32.3,-10.68
102,-32.3,-11.270000000000001
103,-32.3,-10.78
104,-32.3,-11.170000000000002
105,-32.85,-12.74
106,-32.85,-11.219999999999999
107,-32.85,-10.160000000000002
108,-32.85,-12.12
109,-32.85,-10.58
110,-32.85,-10.429999999999996
111,-32.85,-10.79
112,-33.2,-11.54
113,-33.6,-11.690000000000001
114,-33.75,-10.959999999999999
115,-33.75,-11.66
116,-33.85,-12.400000000000002
117,-33.85,-10.23
118,-33.85,-11.76
119,-33.85,-10.870000000000001
120,-33.95,-11.53
121,-34.25,-12.749999999999998
122,-34.25,-11.750000000000002
123,-34.25,-11.49
124,-34.25,-11.879999999999999
125,-34.25,-11.879999999999999
126,-34.25,-11.27
127,-34.25,-11.659999999999998
128,-34.25,-13.51
129,-34.25,-11.72
130,-34.25,-12.370000000000001
131,-34.25,-10.940000000000001
132,-34.25,-12.350000000000001
133,-34.25,-11.44
134,-34.65,-11.979999999999999
135,-34.65,-12.84
136,-34.65,-12.41
137,-34.65,-12.59
138,-34.65,-11.169999999999998
139,-34.65,-13.410000000000002
140,-34.65,-10.54
141,-34.65,-12.66
142,-34.95,-11.59
143,-35.05,-12.400000000000002
144,-35.05,-11.110000000000001
145,-35.05,-11.48
146,-35.45,-11.709999999999999
147,-35.45,-12.32
148,-35.45,-11.049999999999999
149,-35.45,-12.71
150,-35.45,-13.469999999999995
151,-35.7,-11.459999999999999
152,-35.7,-11.860000000000001
153,-35.7,-12.379999999999999
154,-35.95,-11.77
155,-35.95,-12.049999999999997
156,-35.95,-12.360000000000003
157,-35.95,-11.339999999999998
158,-35.95,-12.06
159,-35.95,-11.860000000000001
160,-35.95,-12.28
161,-36.05,-12.09
162,-36.05,-11.66
163,-36.25,-13.039999999999997
164,-36.7,-13.169999999999998
165,-36.7,-11.429999999999998
166,-36.7,-12.67
167,-37.35,-12.670000000000003
168,-38.35,-12.43
169,-38.35,-12.29
170,-38.85,-14.77
171,-38.85,-11.959999999999997
172,-38.85,-12.33
173,-38.85,-13.310000000000002
174,-38.85,-12.489999999999998
175,-38.85,-13.77
176,-38.95,-13.969999999999999
177,-40.3,-12.780000000000003
178,-40.3,-13.470000000000002
179,-40.3,-13.080000000000002
180,-40.45,-13.61
181,-40.45,-13.15
182,-41.45,-14.169999999999998
183,-41.45,-13.530000000000001
184,-41.45,-12.760000000000002
185,-41.45,-12.650000000000002
186,-41.45,-14.069999999999999
187,-41.5,-13.419999999999998
188,-41.5,-13.25
189,-41.5,-13.62
190,-41.5,-13.709999999999999
191,-41.5,-13.440000000000001
