,best_fitness,mean_fitness
0,-1.75,-0.61
1,-1.95,-1.21
2,-2.15,-1.4999999999999998
3,-2.4,-1.5999999999999999
4,-2.5,-1.7100000000000002
5,-2.9,-1.9900000000000002
6,-2.95,-2.17
7,-3.1,-2.15
8,-3.2,-2.1900000000000004
9,-3.4,-2.13
10,-3.5,-2.38
11,-3.75,-2.37
12,-3.8,-2.4400000000000004
13,-3.95,-3.0300000000000002
14,-4.1,-3.0
15,-4.25,-2.8700000000000006
16,-4.65,-3.15
17,-4.85,-3.1900000000000004
18,-4.85,-3.34
19,-4.9,-3.3400000000000007
20,-5.05,-3.47
21,-5.2,-3.5
22,-5.2,-3.7700000000000005
23,-5.45,-3.78
24,-5.55,-3.5500000000000007
25,-5.75,-3.8599999999999985
26,-5.8,-3.8
27,-5.85,-4.220000000000001
28,-5.85,-3.6099999999999994
29,-6.0,-3.55
30,-6.1,-3.84
31,-6.2,-4.17
32,-6.25,-4.090000000000002
33,-6.45,-4.18
34,-6.45,-4.15
35,-6.45,-4.54
36,-6.5,-4.139999999999999
37,-6.55,-4.2299999999999995
38,-6.55,-3.97
39,-6.55,-4.109999999999999
40,-6.55,-4.239999999999999
41,-6.6,-4.1499999999999995
42,-6.6,-4.24
43,-6.6,-3.97
44,-6.75,-4.17
45,-6.75,-4.1
46,-6.75,-4.11
47,-6.8,-4.1
48,-6.8,-4.04
49,-6.95,-4.3100000000000005
50,-6.95,-4.28
51,-6.95,-4.520000000000001
52,-6.95,-4.33
53,-6.95,-4.36
54,-6.95,-4.259999999999999
55,-7.05,-4.08
56,-7.05,-4.45
57,-7.15,-4.6499999999999995
58,-7.15,-4.649999999999999
59,-7.55,-4.7299999999999995
60,-7.65,-4.840000000000001
61,-7.75,-4.620000000000001
62,-7.75,-5.029999999999999
63,-7.75,-5.0
64,-8.0,-4.9399999999999995
65,-8.05,-4.639999999999999
66,-8.3,-5.279999999999999
67,-8.3,-5.0
68,-8.55,-4.859999999999999
69,-8.6,-5.4399999999999995
70,-8.6,-5.26
71,-8.65,-4.940000000000001
72,-8.65,-5.029999999999999
73,-8.65,-5.569999999999999
74,-8.8,-5.960000000000002
75,-8.85,-5.21
76,-8.85,-5.8100000000000005
77,-8.9,-5.58
78,-8.95,-5.579999999999999
79,-9.0,-5.9399999999999995
80,-9.35,-5.939999999999999
81,-9.55,-6.239999999999998
82,-9.55,-5.8
83,-9.55,-5.930000000000001
84,-9.65,-6.1
85,-9.7,-6.030000000000001
86,-9.9,-5.8999999999999995
87,-9.9,-6.35
88,-10.25,-6.449999999999998
89,-10.35,-6.75
90,-10.35,-6.87
91,-10.4,-6.11
92,-10.4,-6.01
93,-10.4,-6.669999999999999
94,-10.4,-6.119999999999999
95,-10.45,-6.23
96,-10.45,-6.6800000000000015
97,-10.95,-7.419999999999999
98,-10.95,-6.650000000000001
99,-10.95,-5.74
100,-10.95,-7.099999999999999
101,-10.95,-6.4
102,-10.95,-6.859999999999999
103,-11.05,-6.859999999999999
104,-11.05,-7.01
105,-11.05,-6.880000000000001
106,-11.05,-7.26
107,-11.05,-7.260000000000001
108,-11.05,-7.210000000000001
109,-11.05,-6.400000000000001
110,-11.05,-6.4
111,-11.05,-7.110000000000001
112,-11.05,-6.470000000000001
113,-11.2,-6.32
114,-11.2,-6.34
115,-11.25,-6.85
116,-11.3,-7.1
117,-11.3,-6.739999999999999
118,-11.3,-6.279999999999999
119,-11.3,-6.5699999999999985
120,-11.3,-6.3500000000000005
121,-11.35,-7.110000000000001
122,-11.45,-6.94
123,-11.45,-7.19
124,-11.45,-7.299999999999999
125,-11.45,-7.26
126,-11.5,-6.979999999999999
127,-11.55,-7.26
128,-11.55,-6.7200000000000015
129,-11.55,-7.539999999999999
130,-11.65,-6.7299999999999995
131,-11.85,-6.68
132,-11.9,-7.410000000000001
133,-11.95,-7.160000000000001
134,-11.95,-6.99
135,-11.95,-7.199999999999998
136,-11.95,-6.92
137,-11.95,-7.2299999999999995
138,-11.95,-7.669999999999999
139,-11.95,-7.380000000000001
140,-12.05,-7.8100000000000005
141,-12.15,-6.43
142,-12.15,-7.090000000000001
143,-12.15,-7.199999999999998
144,-12.15,-7.480000000000001
145,-12.15,-6.9
146,-12.15,-7.709999999999999
147,-12.15,-6.919999999999999
148,-12.15,-7.0200000000000005
149,-12.15,-6.82
150,-12.2,-6.959999999999999
151,-12.2,-7.640000000000002
152,-12.25,-7.140000000000001
153,-12.25,-7.589999999999999
154,-12.25,-6.909999999999999
155,-12.25,-7.150000000000001
156,-12.25,-7.93
157,-12.25,-7.51
158,-12.25,-7.1
159,-12.35,-6.4300000000000015
160,-12.35,-7.030000000000001
161,-12.6,-7.789999999999999
162,-12.65,-7.590000000000001
163,-12.9,-7.2700000000000005
164,-12.9,-7.4399999999999995
165,-12.9,-7.74
166,-12.9,-7.15
167,-13.0,-6.63
168,-13.0,-7.51
169,-13.0,-6.7299999999999995
170,-13.0,-7.380000000000001
171,-13.0,-7.289999999999999
172,-13.0,-6.900000000000001
173,-13.0,-8.069999999999999
174,-13.0,-6.900000000000001
175,-13.0,-7.590000000000001
176,-13.0,-7.12
177,-13.0,-7.2700000000000005
178,-13.0,-7.69
179,-13.0,-7.74
180,-13.0,-7.119999999999999
181,-13.0,-7.390000000000001
182,-13.0,-7.220000000000001
183,-13.0,-7.519999999999999
184,-13.05,-7.210000000000001
185,-13.05,-6.74
186,-13.1,-7.55
187,-13.1,-7.470000000000001
188,-13.1,-7.08
189,-13.1,-7.9
190,-13.1,-7.05
191,-13.1,-7.239999999999999
192,-13.1,-8.84
193,-13.1,-7.859999999999999
194,-13.1,-7.85
195,-13.15,-8.23
196,-13.15,-7.029999999999999
197,-13.15,-8.26
198,-13.15,-7.42
199,-13.35,-7.9200000000000035
200,-13.35,-7.9399999999999995
201,-13.35,-8.32
202,-13.35,-7.24
203,-13.45,-8.219999999999997
204,-13.45,-8.120000000000001
205,-13.5,-6.699999999999998
206,-13.5,-8.749999999999998
207,-13.5,-7.609999999999999
208,-13.5,-7.56
209,-13.6,-8.129999999999999
210,-13.6,-7.640000000000001
211,-13.65,-7.600000000000001
212,-13.65,-8.5
213,-13.65,-7.8100000000000005
214,-13.65,-7.330000000000003
215,-13.7,-7.51
216,-13.7,-7.4
217,-13.7,-7.330000000000001
218,-13.7,-7.529999999999999
219,-13.8,-8.199999999999998
220,-13.8,-7.739999999999999
221,-13.8,-7.57
222,-13.8,-7.640000000000001
223,-13.8,-8.680000000000003
224,-13.8,-8.110000000000003
225,-13.8,-7.800000000000002
226,-13.8,-7.65
227,-13.85,-8.479999999999999
228,-13.85,-7.859999999999998
229,-13.85,-8.069999999999999
230,-13.85,-8.91
231,-13.85,-7.369999999999999
232,-13.85,-8.35
233,-13.85,-8.749999999999998
234,-13.85,-8.069999999999999
235,-13.85,-7.8
236,-13.85,-8.24
237,-13.85,-7.25
238,-13.85,-8.27
239,-13.85,-8.329999999999998
240,-13.85,-7.83
241,-13.85,-7.709999999999999
242,-13.85,-8.28
243,-13.85,-7.62
244,-13.85,-8.889999999999999
245,-13.85,-8.459999999999999
246,-13.85,-8.68
247,-13.85,-7.490000000000002
248,-13.85,-7.839999999999999
249,-13.85,-8.470000000000002
250,-13.85,-7.87
251,-13.95,-7.94
252,-13.95,-8.409999999999998
253,-13.95,-8.169999999999998
254,-13.95,-7.55
255,-13.95,-8.349999999999998
256,-13.95,-8.440000000000003
257,-13.95,-7.68
258,-13.95,-8.870000000000001
259,-13.95,-8.700000000000001
260,-13.95,-8.23
261,-13.95,-8.330000000000002
262,-13.95,-9.069999999999999
263,-13.95,-8.27
264,-13.95,-7.879999999999998
265,-13.95,-7.99
266,-14.05,-8.87
267,-14.05,-8.079999999999998
268,-14.05,-7.6899999999999995
269,-14.05,-7.959999999999999
270,-14.05,-8.8
271,-14.05,-9.040000000000001
272,-14.05,-8.55
273,-14.05,-7.639999999999999
274,-14.05,-8.040000000000001
275,-14.1,-8.659999999999998
276,-14.1,-8.360000000000001
277,-14.1,-8.169999999999998
278,-14.1,-7.529999999999999
279,-14.1,-8.190000000000001
280,-14.15,-7.859999999999999
281,-14.15,-8.520000000000001
282,-14.15,-7.709999999999998
283,-14.15,-7.409999999999999
284,-14.15,-7.9399999999999995
285,-14.15,-7.619999999999999
286,-14.15,-7.58
287,-14.15,-7.840000000000001
288,-14.15,-8.44
289,-14.15,-8.29
290,-14.25,-8.23
291,-14.3,-8.52
292,-14.3,-8.48
293,-14.3,-7.88
294,-14.4,-8.7
295,-14.55,-9.459999999999999
296,-14.55,-9.06
297,-14.55,-8.040000000000001
298,-14.55,-8.19
299,-14.85,-8.629999999999999
300,-14.85,-8.099999999999998
301,-14.85,-8.92
302,-14.85,-9.600000000000001
303,-14.85,-8.560000000000002
304,-14.85,-8.55
305,-14.85,-8.42
306,-14.85,-8.759999999999998
307,-14.85,-9.310000000000002
308,-14.85,-7.969999999999999
309,-14.85,-8.77
310,-14.85,-9.11
311,-14.85,-7.409999999999999
312,-14.85,-8.530000000000001
313,-14.85,-8.77
314,-15.0,-9.179999999999998
315,-15.05,-9.139999999999999
316,-15.05,-8.6
317,-15.05,-8.830000000000002
318,-15.05,-8.950000000000001
319,-15.1,-9.13
320,-15.1,-8.929999999999996
321,-15.1,-9.780000000000001
322,-15.1,-9.539999999999997
323,-15.15,-9.98
324,-15.15,-8.569999999999999
325,-15.2,-8.13
326,-15.2,-9.68
327,-15.3,-8.93
328,-15.3,-8.98
329,-15.3,-8.260000000000002
330,-15.35,-9.62
331,-15.35,-8.599999999999998
332,-15.4,-8.900000000000002
333,-15.45,-9.120000000000001
334,-15.45,-9.170000000000003
335,-15.45,-8.55
336,-15.45,-9.75
337,-15.5,-8.59
338,-15.55,-9.409999999999998
339,-15.55,-9.280000000000001
340,-15.55,-9.479999999999999
341,-15.55,-8.52
342,-15.55,-7.8199999999999985
343,-15.55,-9.48
344,-15.55,-8.809999999999999
345,-15.55,-8.090000000000002
346,-15.55,-8.11
347,-15.55,-8.44
348,-15.55,-9.02
349,-15.55,-8.85
350,-15.55,-8.619999999999997
351,-15.55,-8.3
352,-15.55,-8.969999999999999
353,-15.55,-8.330000000000002
354,-15.65,-8.46
355,-15.75,-9.35
356,-15.8,-8.92
357,-15.8,-9.190000000000001
358,-15.8,-8.98
359,-15.8,-8.4
360,-15.8,-8.6
361,-15.8,-9.26
362,-15.8,-8.519999999999998
363,-15.85,-9.17
364,-15.85,-9.690000000000001
365,-15.85,-9.48
366,-15.85,-8.9
367,-15.85,-8.520000000000001
368,-15.85,-8.620000000000001
369,-15.85,-9.08
370,-15.85,-9.399999999999999
371,-15.95,-8.88
372,-15.95,-8.15
373,-15.95,-8.989999999999998
374,-16.05,-8.72
375,-16.05,-9.809999999999999
376,-16.05,-9.360000000000001
377,-16.05,-9.25
378,-16.05,-9.41
379,-16.05,-9.389999999999999
380,-16.05,-8.520000000000001
381,-16.05,-8.809999999999999
382,-16.05,-9.98
383,-16.05,-8.829999999999998
384,-16.05,-9.42
385,-16.05,-9.13
386,-16.05,-9.45
387,-16.05,-10.319999999999999
388,-16.05,-8.190000000000001
389,-16.05,-9.329999999999998
390,-16.05,-8.649999999999999
391,-16.05,-9.139999999999999
392,-16.05,-8.79
393,-16.05,-8.41
394,-16.05,-9.0
395,-16.05,-8.85
396,-16.05,-8.779999999999998
397,-16.05,-8.649999999999999
398,-16.05,-8.15
399,-16.05,-8.690000000000001
400,-16.05,-9.180000000000001
401,-16.05,-8.989999999999998
402,-16.05,-9.67
403,-16.1,-9.509999999999998
404,-16.1,-9.870000000000001
405,-16.1,-9.71
406,-16.1,-9.629999999999999
407,-16.1,-9.700000000000001
408,-16.1,-8.900000000000002
409,-16.1,-9.29
410,-16.2,-9.200000000000001
411,-16.2,-9.610000000000001
412,-16.2,-9.520000000000001
413,-16.2,-8.77
414,-16.2,-8.749999999999998
415,-16.2,-9.229999999999999
416,-16.2,-9.770000000000001
417,-16.2,-9.16
418,-16.2,-9.38
419,-16.2,-8.59
420,-16.25,-9.24
421,-16.25,-9.690000000000001
422,-16.25,-9.64
423,-16.25,-9.309999999999999
424,-16.25,-10.040000000000001
425,-16.25,-9.319999999999999
426,-16.25,-8.759999999999998
427,-16.25,-9.139999999999999
428,-16.25,-9.559999999999999
429,-16.25,-9.48
430,-16.25,-9.54
431,-16.25,-9.96
432,-16.25,-9.650000000000002
433,-16.25,-9.100000000000001
434,-16.25,-10.7
435,-16.25,-9.269999999999998
436,-16.25,-9.7
437,-16.25,-9.170000000000002
438,-16.35,-8.84
439,-16.35,-10.319999999999999
440,-16.35,-9.360000000000001
441,-16.35,-9.770000000000001
442,-16.5,-9.709999999999999
443,-16.5,-9.31
444,-16.5,-10.3
445,-16.5,-9.47
446,-16.5,-9.27
447,-16.65,-9.28
448,-16.65,-9.850000000000001
449,-16.65,-8.960000000000003
450,-16.65,-8.749999999999998
451,-16.7,-9.03
452,-16.7,-9.52
453,-16.7,-9.279999999999998
454,-16.7,-10.05
455,-16.75,-10.059999999999999
456,-16.75,-9.77
457,-16.75,-9.749999999999996
458,-16.75,-10.69
459,-16.75,-10.2
460,-16.75,-9.779999999999998
461,-16.75,-10.7
462,-16.75,-8.57
463,-16.8,-9.879999999999999
464,-16.8,-10.510000000000003
465,-16.8,-9.280000000000001
466,-16.8,-10.059999999999999
467,-16.8,-10.68
468,-16.8,-9.63
469,-16.8,-9.500000000000002
470,-16.85,-9.380000000000003
471,-16.85,-9.930000000000001
472,-16.85,-8.540000000000001
473,-16.85,-9.68
474,-16.85,-9.969999999999999
475,-16.85,-9.92
476,-16.85,-9.680000000000001
477,-16.85,-9.52
478,-16.85,-9.71
479,-16.85,-9.8
480,-16.85,-10.559999999999999
481,-16.85,-9.479999999999999
482,-16.85,-9.58
483,-16.85,-10.14
484,-16.85,-9.44
485,-16.9,-9.29
486,-16.9,-10.07
487,-16.9,-9.95
488,-16.9,-10.22
489,-16.95,-9.49
490,-16.95,-9.23
491,-16.95,-9.37
492,-16.95,-8.760000000000002
493,-16.95,-9.53
494,-16.95,-10.080000000000002
495,-17.1,-9.99
496,-17.1,-9.84
497,-17.1,-10.0
498,-17.15,-10.02
499,-17.15,-9.86
500,-17.15,-10.509999999999998
501,-17.25,-9.62
502,-17.25,-9.52
503,-17.25,-9.290000000000001
504,-17.25,-9.81
505,-17.25,-10.580000000000002
506,-17.25,-10.100000000000001
507,-17.25,-9.99
508,-17.25,-10.049999999999999
509,-17.25,-9.859999999999998
510,-17.25,-9.88
511,-17.25,-10.040000000000001
512,-17.25,-10.029999999999998
513,-17.25,-9.790000000000001
514,-17.25,-9.799999999999999
515,-17.25,-9.66
516,-17.25,-9.990000000000002
517,-17.25,-9.97
518,-17.25,-9.889999999999999
519,-17.25,-9.889999999999999
520,-17.3,-9.68
521,-17.3,-9.38
522,-17.3,-9.870000000000001
523,-17.3,-10.47
524,-17.3,-9.53
525,-17.3,-10.139999999999999
526,-17.35,-9.84
527,-17.35,-9.919999999999998
528,-17.35,-9.610000000000001
529,-17.45,-10.3
530,-17.45,-8.68
531,-17.45,-9.53
532,-17.45,-9.6
533,-17.45,-9.250000000000002
534,-17.45,-10.45
535,-17.5,-10.370000000000001
536,-17.5,-9.979999999999999
537,-17.5,-10.420000000000003
538,-17.5,-10.26
539,-17.5,-10.599999999999998
540,-17.5,-10.43
541,-17.5,-10.370000000000001
542,-17.5,-9.419999999999998
543,-17.5,-10.17
