,best_fitness,mean_fitness
0,-1.65,-0.63
1,-2.05,-1.42
2,-2.2,-1.5100000000000002
3,-2.25,-1.5699999999999998
4,-2.65,-1.8900000000000001
5,-2.8,-1.9600000000000002
6,-2.85,-2.07
7,-3.0,-2.12
8,-3.15,-2.32
9,-3.2,-2.11
10,-3.25,-2.0500000000000003
11,-3.3,-2.37
12,-3.55,-2.49
13,-3.75,-2.6699999999999995
14,-4.05,-2.9699999999999998
15,-4.25,-2.9000000000000004
16,-4.4,-3.0399999999999996
17,-4.5,-3.0800000000000005
18,-4.65,-3.170000000000001
19,-4.7,-2.9100000000000006
20,-4.7,-3.09
21,-4.75,-2.91
22,-4.95,-3.4400000000000004
23,-5.15,-3.46
24,-5.45,-3.5100000000000002
25,-5.6,-3.6699999999999995
26,-5.65,-3.66
27,-5.75,-3.7400000000000007
28,-5.85,-4.159999999999999
29,-5.95,-3.9800000000000004
30,-5.95,-3.7699999999999996
31,-6.0,-4.34
32,-6.05,-3.999999999999999
33,-6.25,-3.66
34,-6.3,-3.7800000000000002
35,-6.55,-4.16
36,-6.55,-3.939999999999999
37,-6.65,-3.939999999999999
38,-7.1,-4.41
39,-7.2,-4.5600000000000005
40,-7.35,-4.609999999999999
41,-7.35,-4.65
42,-7.35,-4.6
43,-7.4,-4.489999999999999
44,-7.4,-4.659999999999998
45,-7.55,-4.99
46,-7.55,-5.109999999999999
47,-7.55,-5.08
48,-7.55,-4.790000000000001
49,-7.8,-4.67
50,-8.0,-5.1000000000000005
51,-8.0,-4.750000000000002
52,-8.15,-5.299999999999999
53,-8.25,-5.19
54,-8.25,-4.440000000000001
55,-8.25,-5.369999999999999
56,-8.25,-4.799999999999999
57,-8.25,-5.1
58,-8.25,-5.449999999999998
59,-8.4,-5.359999999999999
60,-8.6,-5.26
61,-8.65,-5.320000000000002
62,-8.7,-5.51
63,-8.7,-5.459999999999999
64,-8.8,-5.660000000000002
65,-8.85,-5.44
66,-8.85,-5.829999999999999
67,-9.0,-5.62
68,-9.1,-5.849999999999998
69,-9.1,-5.27
70,-9.2,-6.5200000000000005
71,-9.2,-5.499999999999999
72,-9.2,-5.3100000000000005
73,-9.2,-5.54
74,-9.25,-5.800000000000001
75,-9.25,-5.989999999999999
76,-9.4,-5.74
77,-9.4,-6.260000000000001
78,-9.4,-5.99
79,-9.5,-5.220000000000001
80,-9.5,-5.930000000000001
81,-9.5,-6.25
82,-9.5,-6.05
83,-9.5,-5.8
84,-9.5,-6.360000000000001
85,-9.6,-5.949999999999998
86,-9.9,-6.0200000000000005
87,-9.95,-6.24
88,-9.95,-5.949999999999999
89,-9.95,-6.35
90,-10.0,-6.279999999999999
91,-10.0,-6.410000000000001
92,-10.0,-5.739999999999999
93,-10.1,-6.789999999999999
94,-10.55,-6.739999999999999
95,-10.55,-7.12
96,-10.8,-6.909999999999999
97,-10.9,-7.459999999999998
98,-11.1,-7.43
99,-11.15,-6.44
100,-11.15,-7.040000000000001
101,-11.15,-6.410000000000001
102,-11.3,-7.1899999999999995
103,-11.3,-6.629999999999998
104,-11.3,-6.339999999999999
105,-11.4,-6.49
106,-11.65,-6.910000000000001
107,-11.8,-6.7700000000000005
108,-11.8,-6.910000000000001
109,-11.8,-7.330000000000003
110,-11.85,-6.860000000000001
111,-11.9,-7.039999999999999
112,-12.0,-7.3
113,-12.0,-7.229999999999999
114,-12.0,-8.620000000000001
115,-12.0,-7.739999999999999
116,-12.1,-6.789999999999999
117,-12.15,-7.960000000000001
118,-12.25,-7.229999999999999
119,-12.4,-7.919999999999999
120,-12.65,-7.7299999999999995
121,-12.9,-7.999999999999998
122,-12.9,-6.93
123,-12.95,-8.49
124,-12.95,-8.53
125,-13.05,-7.540000000000001
126,-13.15,-7.709999999999999
127,-13.2,-8.23
128,-13.2,-7.620000000000002
129,-13.3,-7.95
130,-13.3,-7.840000000000001
131,-13.3,-8.250000000000004
132,-13.3,-8.010000000000002
133,-13.35,-7.9799999999999995
134,-13.4,-8.549999999999999
135,-13.5,-8.66
136,-13.5,-8.330000000000002
137,-13.5,-8.510000000000002
138,-13.5,-7.400000000000001
139,-13.6,-8.21
140,-13.75,-8.85
141,-13.75,-8.850000000000001
142,-13.85,-8.56
143,-13.85,-8.390000000000002
144,-13.85,-8.419999999999998
145,-13.85,-9.38
146,-13.85,-8.289999999999997
147,-13.85,-8.4
148,-13.9,-8.28
149,-13.9,-8.85
150,-13.9,-8.49
151,-13.9,-8.180000000000001
152,-13.9,-8.580000000000002
153,-13.9,-8.299999999999999
154,-13.9,-8.110000000000001
155,-13.95,-8.359999999999998
156,-13.95,-8.79
157,-14.0,-8.159999999999998
158,-14.05,-8.039999999999997
159,-14.05,-7.969999999999999
160,-14.2,-8.649999999999999
161,-14.2,-8.700000000000001
162,-14.2,-8.429999999999998
163,-14.25,-9.2
164,-14.25,-8.570000000000002
165,-14.25,-9.0
166,-14.3,-8.639999999999999
167,-14.35,-7.989999999999999
168,-14.35,-8.219999999999999
169,-14.35,-8.66
170,-14.5,-9.73
171,-14.5,-7.710000000000001
172,-14.5,-9.07
173,-14.6,-8.799999999999999
174,-14.6,-9.19
175,-14.8,-9.73
176,-14.9,-9.26
177,-14.9,-8.59
178,-14.95,-9.43
179,-14.95,-9.24
180,-14.95,-8.35
181,-15.0,-9.670000000000002
182,-15.0,-7.340000000000001
183,-15.0,-9.2
184,-15.0,-8.24
185,-15.05,-8.709999999999999
186,-15.05,-9.41
187,-15.05,-9.36
188,-15.05,-8.619999999999997
189,-15.1,-8.000000000000002
190,-15.1,-8.83
191,-15.25,-9.370000000000001
192,-15.25,-8.969999999999999
193,-15.25,-9.09
194,-15.25,-9.330000000000002
195,-15.25,-8.67
196,-15.25,-9.129999999999999
197,-15.25,-9.46
198,-15.25,-9.18
199,-15.25,-8.320000000000002
200,-15.3,-8.409999999999998
201,-15.3,-9.6
202,-15.3,-8.899999999999999
203,-15.4,-8.809999999999999
204,-15.4,-9.059999999999999
205,-15.4,-9.239999999999998
206,-15.4,-9.629999999999999
207,-15.4,-9.76
208,-15.4,-9.48
209,-15.4,-8.95
210,-15.4,-9.66
211,-15.4,-10.089999999999998
212,-15.4,-9.180000000000003
213,-15.4,-8.47
214,-15.4,-9.52
215,-15.4,-9.200000000000001
216,-15.4,-8.94
217,-15.4,-9.269999999999998
218,-15.4,-9.75
219,-15.4,-9.639999999999999
220,-15.4,-8.739999999999998
221,-15.4,-9.179999999999998
222,-15.4,-9.55
223,-15.4,-9.16
224,-15.4,-10.309999999999999
225,-15.4,-9.690000000000001
226,-15.4,-8.7
227,-15.4,-9.82
228,-15.4,-9.35
229,-15.4,-9.399999999999999
230,-15.4,-9.409999999999998
231,-15.4,-9.450000000000001
232,-15.45,-8.25
233,-15.55,-9.450000000000001
234,-15.6,-9.780000000000001
235,-15.6,-10.09
236,-15.65,-9.120000000000001
237,-15.65,-9.770000000000001
238,-15.65,-9.62
239,-15.65,-9.35
240,-15.65,-9.8
241,-15.7,-9.46
242,-15.7,-9.160000000000002
243,-15.7,-9.120000000000001
244,-15.7,-9.320000000000002
245,-15.7,-9.9
246,-15.7,-10.35
247,-15.8,-9.57
248,-15.8,-8.970000000000002
249,-15.8,-9.69
250,-15.8,-9.390000000000002
251,-15.8,-9.57
252,-15.8,-9.32
253,-15.8,-9.86
254,-15.8,-9.78
255,-15.9,-8.71
256,-15.9,-9.799999999999999
257,-15.9,-9.82
258,-16.05,-9.09
259,-16.15,-9.149999999999999
260,-16.35,-10.430000000000001
261,-16.35,-9.080000000000002
262,-16.35,-10.21
263,-16.35,-9.570000000000004
264,-16.35,-10.100000000000001
265,-16.35,-9.16
266,-16.35,-9.580000000000002
267,-16.35,-9.780000000000001
268,-16.4,-9.599999999999998
269,-16.4,-9.55
270,-16.4,-10.079999999999997
271,-16.4,-9.989999999999998
272,-16.4,-9.790000000000003
273,-16.4,-10.09
274,-16.4,-9.959999999999997
275,-16.4,-10.320000000000002
276,-16.4,-10.07
277,-16.4,-9.819999999999999
278,-16.4,-9.680000000000001
279,-16.4,-9.76
280,-16.4,-9.310000000000002
281,-16.4,-9.980000000000002
282,-16.4,-10.310000000000004
283,-16.45,-10.030000000000001
284,-16.45,-9.33
285,-16.45,-9.87
286,-16.45,-10.010000000000002
287,-16.45,-9.48
288,-16.45,-9.78
289,-16.45,-9.530000000000001
290,-16.45,-9.819999999999999
291,-16.45,-10.07
292,-16.45,-9.68
293,-16.45,-10.580000000000002
294,-16.45,-9.79
295,-16.5,-9.830000000000002
296,-16.5,-11.040000000000003
297,-16.5,-9.959999999999999
298,-16.5,-9.7
299,-16.55,-10.450000000000001
300,-16.55,-10.14
301,-16.55,-9.490000000000002
302,-16.55,-9.940000000000001
303,-16.55,-9.8
304,-16.55,-10.07
305,-16.55,-10.459999999999999
306,-16.55,-9.059999999999999
307,-16.7,-11.02
308,-16.85,-10.58
309,-16.85,-10.889999999999999
310,-16.85,-11.03
311,-16.85,-9.84
312,-16.85,-9.359999999999998
313,-16.9,-9.239999999999998
314,-16.9,-10.260000000000002
315,-16.9,-10.71
316,-16.9,-9.89
317,-16.9,-9.750000000000002
318,-16.9,-10.08
319,-16.95,-9.82
320,-16.95,-10.370000000000001
321,-17.0,-10.569999999999999
322,-17.0,-11.080000000000002
323,-17.0,-9.870000000000001
324,-17.0,-10.589999999999998
325,-17.0,-10.06
326,-17.0,-9.49
327,-17.0,-11.020000000000001
328,-17.0,-9.969999999999999
329,-17.0,-9.83
