,mutation,strategy,gems,n_cols,overall_best,overall_best_mean,overall_best_std,better_gems_total,better_gems_mean,worse_gems_total,worse_gems_mean
1,single_mutation,MatchByActiveStrategy,0,10,0.1596973052789485,27.869055057910018,27.869055057910018,0,0.0,0,0.0
2,single_mutation,MatchByActiveStrategy,0,50,0.17717909640147766,0.4772980187004652,0.4772980187004652,0,0.0,0,0.0
3,single_mutation,MatchByActiveStrategy,0,100,0.0,0.3459623236688578,0.3459623236688578,0,0.0,0,0.0
4,single_mutation,MatchByActiveStrategy,5,10,0.0,101.47563965700596,101.47563965700596,1179,58.95,3703,185.15
5,single_mutation,MatchByActiveStrategy,5,50,0.0,0.2507681521190982,0.2507681521190982,891,44.55,5275,263.75
6,single_mutation,MatchByActiveStrategy,5,100,0.0,0.4104607195401254,0.4104607195401254,957,47.85,5929,296.45
7,single_mutation,MatchByActiveStrategy,10,10,0.0,101.47563965700596,101.47563965700596,1221,61.05,3553,177.65
8,single_mutation,MatchByActiveStrategy,10,50,0.0,0.17128384115236253,0.17128384115236253,1293,64.65,7112,355.6
9,single_mutation,MatchByActiveStrategy,10,100,0.12336657802900415,0.8237198993202994,0.8237198993202994,1116,55.8,7570,378.5
10,probabilistic_mutation,MatchByActiveStrategy,0,10,0.0,2.126402623670039e+25,2.126402623670039e+25,0,0.0,0,0.0
11,probabilistic_mutation,MatchByActiveStrategy,0,50,0.0,0.19173057989077694,0.19173057989077694,0,0.0,0,0.0
12,probabilistic_mutation,MatchByActiveStrategy,0,100,0.04324727850917919,0.580617618827763,0.580617618827763,0,0.0,0,0.0
13,probabilistic_mutation,MatchByActiveStrategy,5,10,0.0,40.21777518044205,40.21777518044205,805,40.25,3441,172.05
14,probabilistic_mutation,MatchByActiveStrategy,5,50,0.0,667.6724305959418,667.6724305959418,502,25.1,3212,160.6
15,probabilistic_mutation,MatchByActiveStrategy,5,100,0.10320186850284391,7.789221839379457,7.789221839379457,421,21.05,2902,145.1
16,probabilistic_mutation,MatchByActiveStrategy,10,10,0.11761416387514366,26.425405403094068,26.425405403094068,846,42.3,4083,204.15
17,probabilistic_mutation,MatchByActiveStrategy,10,50,0.0,2.195348391751771,2.195348391751771,594,29.7,3921,196.05
18,probabilistic_mutation,MatchByActiveStrategy,10,100,0.11050388023644564,0.5379148303702178,0.5379148303702178,889,44.45,4897,244.85
